relevant,format,cathode_material,anode_material,electrolyte,additive,year,title,DOI
Yes,Coin,LiCoO2,Graphite,1 M LiPF6 in EC/EMC (1:1 by volume),Not found,2017,Electrolyte loaded hexagonal boron nitride/polyacrylonitrile nanofibers for lithium ion battery application,10.1016/j.ssi.2017.07.004
Not found,Not found,Not found,Not found,Not found,Not found,Not found,Scalable Production of Graphene Oxide Using a 3D-Printed Packed-Bed Electrochemical Reactor with a Boron-Doped Diamond Electrode,10.1021/acsanm.8b02126
Yes,Coin,NMC532,Silicon (Si),1.2 m LiFSI/0.05 m LiDFOB in DME/HFE/FEC (3:6:1 by vol),FEC and LiDFOB,2021,Electrolyte Design Enabling a High-Safety and High-Performance Si Anode with a Tailored Electrode-Electrolyte Interphase,10.1002/adma.202103178
Yes,Not found,Not found,Not found,"PVBBAPEGX-Y with CF3SO3Li salt, where X is PEG molecular weight (e.g., 200, 600, 1000) and Y is EO/Li ratio (e.g., 10:1)",Not found,2013,PEG crosslinked poly(vinylbenzene boronic acid) polymer electrolytes for Li-ion batteries,10.1016/j.cap.2013.06.009
Not found,Not found,Not found,Not found,Not found,Not found,2021,"Porous N, B co-doped carbon nanotubes as efficient metal-free electrocatalysts for ORR and Zn-air batteries",10.1016/j.cej.2021.130134
Yes,Not found,LiFePO4,Lithium metal,"B-Six-PEGs polymer electrolytes with LiTFSI salt, [Li+]:[EO] mole ratio 1:10",Not found,2020,Mitigating the Shielding Effect of Ether Oxygen in Poly(ethylene glycol) on Boron Atoms in Boron-Doped Poly(ethylene glycol) Hybrid Polymer Electrolyte by Introducing Siloxane Spacers,10.1002/celc.202000784
Yes,Coin,LiNi0.8Co0.15Al0.05O2 (NCA),Lithium foil,1 M LiPF6 in ethylene carbonate and diethyl carbonate (1:1 volume ratio),Not found,2020,Interlinking Primary Grains with Lithium Boron Oxide to Enhance the Stability of LiNi0.8Co0.15Al0.05O2,10.1021/acsami.0c16159
Yes,Coin,LiFePO4,Lithium metal,PEO/LiTFSI/SiO2@BNNS composite polymer electrolyte,SiO2@BNNS,2021,Surface-modified boron nitride as a filler to achieve high thermal stability of polymer solid-state lithium-metal batteries,10.1039/d1ta05410d
Yes,Swagelok,Porous carbon with α-MnO2 catalyst,Metallic lithium,0.5 M LiBOB in PC,Not found,2011,Decomposition Reaction of Lithium Bis(oxalato)borate in the Rechargeable Lithium-Oxygen Cell,10.1149/2.003112esl
Not found,Not found,Not found,"Magnesium, Bismuth, Tin, Titanium, Vanadium, Boron clusters, Graphene-based electrodes (as discussed in the review)",Not found,Not found,2021,An Overview on Anodes for Magnesium Batteries: Challenges towards a Promising Storage Solution for Renewables,10.3390/nano11030810
Yes,Coin,LiFePO4,Lithium metal,1.0 M LiPF6 in EC:DEC,Not found,2020,Engineered heat dissipation and current distribution boron nitride-graphene layer coated on polypropylene separator for high performance lithium metal battery,10.1016/j.jcis.2020.09.009
Yes,Coin,LiFePO4,Lithium metal,1 mol/L LiTFSI in EC/DMC (1:1 vol%) with boron-containing cross-linkers (LBC and TBC) and 0.5 wt% AIBN,Boron-containing cross-linkers (LBC and TBC),2019,"A borate-rich, cross-linked gel polymer electrolyte with near-single ion conduction for lithium metal batteries",10.1039/c9ta05938e
Yes,Not found,Not found,Not found,EC/DMC 50/50 (w/w) or DMF,"Boron esters (e.g., triol borate, nitro-triol borate, diol-monoacid borate, monoalcohol-diacid borate)",2010,Boron Esters as Tunable Anion Carriers for Non-Aqueous Batteries Electrochemistry,10.1021/ja9093814
Yes,Not found,Not found,Not found,Not found,Not found,2013,A class of sp3 boron-based single-ion polymeric electrolytes for lithium ion batteries,10.1039/c3ra41167b
Not found,Not found,Not found,Not found,Not found,Not found,2004,Growth and characterization of BPO4 single crystals,10.1002/zaac.200400002
Not found,Not found,Not found,Not found,Not found,Not found,2021,Titanium and nitrogen co-doped porous carbon for high-performance supercapacitors†,10.1039/d0qm01133a
Yes,Coin,LiFePO4,Graphite,"1 mol L⁻¹ LiPF6 in EC/DMC/EMC (1/1/1, w/w/w)",LiPVAOB,2013,A Composite Gel Polymer Electrolyte with High Performance Based on Poly(Vinylidene Fluoride) and Polyborate for Lithium Ion Batteries,10.1002/aenm.201300647
Yes,Coin,NCM811,Lithium metal,1 M LiPF6 in EC/DEC/DMC (1:1:1 by vol),Not found,2020,H3BO3 washed LiNi0.8Co0.1Mn0.1O2 with enhanced electrochemical performance and storage characteristics,10.1016/j.jpowsour.2020.228940
Yes,Not found,Not found,Not found,EC-MFDMC equimolar binary solution containing 1 M LiPF6,MFDMC,2005,Electrolytic behavior and application to lithium batteries of monofluorinated dimethyl carbonate,10.1016/j.ssi.2005.10.022
Yes,Pouch,Li[Ni0.4Mn0.4Co0.2]O2 (NMC442),Graphite,"1 M LiPF6 in EMC with additives such as VC, FEC, or DiFEC","VC, FEC, DiFEC",2016,Enabling linear alkyl carbonate electrolytes for high voltage Li-ion cells,10.1016/j.jpowsour.2016.08.015
Yes,Coin,Not found,Silicon,1 M LiPF6 in 1:1 ethylene carbonate (EC): dimethyl carbonate (DMC),Not found,2017,Electrochemically anodized porous silicon: Towards simple and affordable anode material for Li-ion batteries,10.1038/s41598-017-08285-3
Yes,Coin,LiFePO4,Lithium,1 mol/L LiFSI in EC/DEC/EMC (1:1:1 by volume) or 0.6 mol/L LiFSI and 0.4 mol/L LiBOB in EC/DEC/EMC (1:1:1 by volume),LiBOB,2021,Mechanism of aluminum corrosion in LiFSI-based electrolyte at elevated temperatures,10.1016/S1003-6326(21)65588-7
Yes,Not found,Not found,Not found,Not found,"B2O3, La2O3",2013,"Crystallization Kinetics of Superionic Conductive Al(B, La)- Incorporated LiTi2(PO4)3 Glass-Ceramics",10.1111/jace.12094
Yes,Coin,LiMn2O4,Lithium foil,"0.4 M TPFPB and 0.2 M Li2O in PC/DMC (1:1 volume), 0.4 M TPFPB and 0.2 M Li2O2 in PC/DMC (1:1 volume), 0.4 M TPFPB and 0.2 M Li2O in EC/DMC (1:1 volume)",TPFPB,2008,New electrolytes using Li2O or Li2O2 oxides and tris(pentafluorophenyl) borane as boron based anion receptor for lithium batteries,10.1016/j.elecom.2008.05.043
Yes,Coin,LiFePO4,Graphite,1M LiPF6 in EC/DEC (1:1 v/v),Not found,Not found,Magnesium Borate Fiber Coating Separators with High Lithium-Ion Transference Number for Lithium-Ion Batteries,10.1002/celc.201901916
Yes,Not found,LiFePO4 (LFP),Lithium metal,"Lithium poly (4,4'-dihydroxydiphenyl sulfone borate) (Li-PSB) with polybenzimidazole (PBI) binder",Not found,2020,"Fire-retardant sp3 boron-based single ion conducting polymer electrolyte for safe, high efficiency and dendrite-free Li-metal batteries",10.1016/j.memsci.2020.118921
Yes,Not found,Not found,Not found,Li3BN2 glass,Not found,2019,New lithium-conducting nitride glass Li3BN2,10.1016/j.ssi.2019.05.020
Yes,Coin,LiNi0.80Co0.15Al0.05O2,MCMB (Mesocarbon Microbeads),1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB,TPFPB (tris(pentafluorophenyl)borane),2003,The compatibility of a boron-based anion receptor with the carbon anode in lithium-ion batteries,10.1149/1.1536475
Not found,Not found,Not found,Not found,Not found,Not found,2020,Engineering oxygen defects in the boron nanosheet for stabilizing complex bonding structure: An approach for high-performance supercapacitor,10.1016/j.cej.2020.127122
Yes,Coin,LiNi0.5Co0.2Mn0.3O2,Graphite,1 M LiPF6 dissolved in a 1:2 (by volume) mixture of ethylene carbonate (EC) and dimethyl carbonate (DMC),Not found,2019,Hard X-ray Photoelectron Spectroscopy Analysis of Surface Chemistry of Spray Pyrolyzed LiNi0.5Co0.2Mn0.3O2 Positive Electrode Coated with Lithium Boron Oxide,10.5796/electrochemistry.19-00022
Yes,Coin,Not found,Not found,1 M LiTf in tetraglyme,Not found,2017,Complete Decomposition of Li2CO3 in Li-O2 Batteries Using Ir/B4C as Noncarbon-Based Oxygen Electrode,10.1021/acs.nanolett.6b04371
Not found,Not found,Not found,Not found,Not found,Not found,2020,"Identification of functionality of heteroatoms in boron, nitrogen and fluorine ternary-doped carbon as a robust electrocatalyst for nitrogen reduction reaction powered by rechargeable zinc-air batteries",10.1039/d0ta01572e
Yes,Coin,Li1.16Ni0.2Co0.1Mn0.54O2,Lithium metal,1.0 M LiPF6 in EC/DMC = 1:2 (volume ratio) with 0.5 wt. % TTFEB,"TTFEB (tris(2,2,2-trifluoroethyl) borate)",2017,A New Anion Receptor for Improving the Interface between Lithium- and Manganese-Rich Layered Oxide Cathode and the Electrolyte,10.1021/acs.chemmater.6b04784
Yes,Not found,Not found,Not found,"PAN with LiCF3SO3 or LiBF4, plasticized with PEGB or EC/PC",PEGB (poly(ethylene glycol) borate ester),2015,Enhanced ionic conductivity in borate ester plasticized Polyacrylonitrile electrolytes for lithium battery application,10.1016/j.electacta.2015.02.214
Yes,Coin,LiFePO4,Lithium metal,1 mol L⁻¹ LiTFSI in EC/PC (v/v = 1:1),Not found,2021,Fabrication of Borate-Based Porous Polymer Electrolytes Containing Cyclic Carbonate for High-Performance Lithium Metal Batteries,10.1021/acsaem.1c01724
Not found,Not found,Not found,Not found,Not found,Not found,2019,BC2N monolayers as promising anchoring materials for lithium-sulfur batteries: First-principles insights,10.1016/j.carbon.2019.04.077
Yes,Not found,Not found,Lithium metal,EC-DMC (mole ratio 1:1) with 0.5 mol dm⁻³ LiPF₆ or mixtures with lithium organophosphates,"LiDFOB not found; additive is 3-FLTBP (lithium tris[3-fluoro-1,2-benzenediolato(2-)-O,O']phosphate)",2002,"Lithium tris[3-fluoro-1,2-benzenediolato(2-)-O,O′]phosphate as a novel lithium salt for lithium battery electrolytes",10.1149/1.1496535
Yes,Coin,MnO2 with B4C additive,Zinc,Saturated aqueous LiOH containing 1 mol l^{-1} ZnSO4 or saturated KOH,B4C,2009,The effect of B4C addition to MnO2 in a cathode material for battery applications,10.1016/j.electacta.2009.09.062
Yes,Coin,Li1.2Ni0.13Co0.13Mn0.54O2 (LLO),"Lithium metal (half-cell), SnO2@rGO (full-cell)",1 M LiPF6 in ethylene carbonate (EC): dimethyl carbonate (DMC): diethyl carbonate (DEC) (1:1:1 vol%),Not found,2019,Enhanced cycling stability of boron-doped lithium-rich layered oxide cathode materials by suppressing transition metal migration,10.1039/c8ta10786f
Yes,Coin,Carbon with α-MnO2 catalyst,Lithium foil,0.5 M LiB(CN)4 in PEGDME or Tetraglyme,Not found,2012,"Ether Based Electrolyte, LiB(CN)4 Salt and Binder Degradation in the Li-O2 Battery Studied by Hard X-ray Photoelectron Spectroscopy (HAXPES)",10.1021/jp303691m
Yes,Coin,LiNi0.5Mn0.3Co0.2O2 (NMC),Lithium metal,"1M LiPF6 in a 1:1:1 (v:v:v) mixture of ethylene carbonate (EC), ethyl methyl carbonate (EMC), and dimethyl carbonate (DMC)",Not found,2017,Improving the electrochemistry performance of layer LiNi0.5Mn0.3Co0.2O2 material at 4.5 V cutoff potential using lithium metaborate,10.1016/j.electacta.2017.05.075
Not found,Not found,Not found,Not found,Not found,Not found,2017,Synthesis of High-Purity Imidazolium Tetrafluoroborates and Bis(oxalato)borates,10.1002/chem.201604461
Yes,Coin,LiNi0.94Co0.06O2,Graphite,1 M LiPF6 in EC:DEC (1:1 by volume),LiBOB,2018,Extending the Service Life of High-Ni Layered Oxides by Tuning the Electrode-Electrolyte Interphase,10.1002/aenm.201801957
Not found,Not found,Not found,Not found,Not found,Not found,2017,"Graphite felt as a versatile electrode material: Properties, reaction environment, performance and applications",10.1016/j.electacta.2017.11.165
Yes,Coin,Not found,Graphite,1 M NaClO4 in propylene carbonate (PC) with 5 wt.% fluoroethylene carbonate (FEC),Boric acid (H3BO3),2021,Facile Synthesis of Boron-Doped Reduced Electrochemical Graphene Oxide for Sodium Ion Battery Anode,10.1007/s11837-021-04750-7
Yes,Coin,Li1+xMn2-xO4,Graphite,1 mol L-1 solution of LiTFSI in PP13 ionic liquid with hexagonal boron nitride composite,Not found,2016,Hexagonal Boron Nitride-Based Electrolyte Composite for Li-Ion Battery Operation from Room Temperature to 150 °C,10.1002/aenm.201600218
Yes,Coin,Sulfur,Lithium metal,"1 M LiTFSI in DME/DOL (1:1, v:v)",Not found,2016,High rate lithium-sulfur battery enabled by sandwiched single ion conducting polymer electrolyte,10.1038/srep22048
Yes,Coin,Li[Li0.2Mn0.54Ni0.13Co0.13]O2,Lithium metal,"1 mol/L LiPF6 in EC, EMC and DMC (1:1:1 v/v/v)",Not found,2016,Enhanced electrochemical properties of Li[Li0.2Mn0.54Ni0.13Co0.13]O2 via lithium boron oxide glass surface treatment,10.1016/j.ssi.2016.05.013
Yes,Not found,Lithium borocarbide (LiBC),Not found,Not found,Not found,2011,First-Principles Study of Lithium Borocarbide as a Cathode Material for Rechargeable Li ion Batteries,10.1021/jz200440m
Yes,Coin,Not found,Amorphous boron nanorod,1.2 M LiPF6 in EC/EMC (3:7 w/w),Not found,2017,Amorphous boron nanorod as an anode material for lithium-ion batteries at room temperature,10.1039/c7nr03017g
Not found,Not found,Not found,Zinc,6.0 M KOH + 0.2 M Zn(CH3COO)2,Not found,Not found,3D Graphene-Carbon Nanotube Hybrid Supported Coupled Co-MnO Nanoparticles as Highly Efficient Bifunctional Electrocatalyst for Rechargeable Zn-Air Batteries,10.1002/asia.202000913
Not found,Not found,Not found,Not found,Not found,Not found,2017,Synergistic Effect of Blended Components in Nonaqueous Electrolytes for Lithium Ion Batteries,10.1007/s41061-017-0125-8
Yes,Film,Not found,Not found,"PVBBAPEGMEX-Y with CF3SO3Li salt, where X is molecular weight of PEGME (e.g., 350, 550, 750) and Y is EO/Li ratio (e.g., 10:1, 20:1, 40:1, 60:1)",Not found,2010,Polymer electrolytes based on the doped comb-branched copolymers for Li-ion batteries,10.1016/j.ssi.2010.05.039
Yes,Coin,"LiMn2O4, LiNiO2",Lithium metal,"1 M LiF, CF3CO2Li, or C2F5CO2Li with 1 M TFPB or TFPBO in PC-EC-DMC (1:1:3, v/v) or DME","TFPB, TFPBO",1999,Comparative studies of the electrochemical and thermal stability of two types of composite lithium battery electrolytes using boron-based anion receptors,10.1149/1.1392529
Yes,Not found,Not found,Not found,Not found,Not found,2021,Fast Ion-Conducting Thioboracite with a Perovskite Topology and Argyrodite-like Lithium Substructure,10.1021/jacs.1c00941
Yes,Not found,Not found,Not found,Li-doped BPO4 (ceramic electrolyte),Not found,2000,NMR study of ionic distribution in Li-doped BPO4,10.1006/jssc.2000.8759
Yes,Not found,Not found,Not found,Not found,Not found,2015,Boron based fluoride anion receptors: Electrochemical and sensory applications,10.1016/j.jorganchem.2015.07.037
Yes,Coin,LiNi0.5Mn1.5O4,Lithium foil,1M LiTFSI x-LiODFB (1-x) in EC/EMC (4:6 by wt.),LiODFB,2016,Dual-salts of LiTFSI and LiODFB for high voltage cathode LiNi0.5Mn1.5O4,10.1007/s10008-016-3313-5
Not found,Coin,Not found,Graphite,1 M LiClO4 dissolved in ethylene carbonate (EC)/diethyl carbonate (DEC) (1:1 vol%),Not found,2012,Solid electrolyte interphase formation behavior on well-defined carbon surfaces for Li-ion battery systems,10.1016/j.electacta.2012.05.080
Yes,Not found,Not found,Not found,"Boron-cross linked dendritic electrolytes doped with CF3SO3Li, e.g., T5000(6-OH)B-20 with [PO]:[Li]=20",Not found,2012,PAMAM type dendritic electrolytes for lithium ion battery applications,10.1016/j.ssi.2012.07.013
Yes,Coin,Not found,MCMB (Graphitized),"Various compositions including 0.6 M TPFPB and 0.6 M LiF in PC/DMC (1:1 v/v), 0.4 M TPFPB and 0.2 M Li2O in PC/DMC (1:1 v/v), 0.4 M TPFPB and 0.2 M Li2O2 in PC/DMC (1:1 v/v), all with or without 0.05 M LiBOB additive",LiBOB,2008,Studies on the enhancement of solid electrolyte interphase formation on graphitized anodes in LiX-carbonate based electrolytes using Lewis acid additives for lithium-ion batteries,10.1016/j.jpowsour.2008.10.063
Yes,Coin,LiNi0.8Co0.2O2,MCMB carbon,1M LiIm(BF3)2 in 1/3 EC/EMC,LiIm(BF3)2,2003,A lithium salt of a lewis acid-base complex of imidazolide for lithium-ion batteries,10.1149/1.1568831
Yes,Pouch,NMC442,Graphite,1M LiPF6 in EC/EMC (3:7 wt% ratio),"PBF, MMDS, DTD, and others",2015,Binary Additive Blends Including Pyridine Boron Trifluoride for Li-Ion Cells,10.1149/2.0171509jes
Yes,Coin,LiFePO4,Lithium metal,Asymmetric double-layer composite electrolyte with PPC layer for cathode and PEO-hBN layer for anode,hBN (hexagonal boron nitride),2020,Asymmetric double-layer composite electrolyte with enhanced ionic conductivity and interface stability for all-solid-state lithium metal batteries,10.1016/j.cclet.2020.10.045
Yes,Not found,Not found,Not found,Nanocomposite polymer electrolytes comprising PVA-graft-PEGME/TiO2 doped with CF3SO3Li,TiO2 nanoparticles,2014,Nanocomposite polymer electrolytes comprising PVA-graft-PEGME/TiO2 for Li-ion batteries,10.1557/jmr.2014.31
Yes,Coin,LiCoPO4,Graphite,1 M LiPF6 in EC:DMC (1:1 wt:wt),Trimethylboroxine (TMB),2014,Anodic Decomposition of Trimethylboroxine as Additive for High Voltage Li-Ion Batteries,10.1149/2.0011501jes
Yes,Coin,LiFePO4,Lithium,"POSS-g-PEGMEM/B-PEGMA with LiTFSI, [Li]/[EO] molar ratio of 1/20",B-PEGMA,2018,A star-shaped solid composite electrolyte containing multifunctional moieties with enhanced electrochemical properties for all solid-state lithium batteries,10.1016/j.memsci.2018.01.063
Yes,Coffee-bag,Not found,"Various (e.g., Boron, Silicon, Silicides, Borides, SiO)",1 mol/g LiPF6 in EC:DEC (2:1),Not found,2001,Investigations of a Number of Alternative Negative Electrode Materials for Use in Lithium Cells,10.1007/BF02373580
Yes,Pellet,Not found,Not found,Li4SiO4-Li3PO4-LiBO2 ternary ceramic system with mole ratio 60:40:20,LiBO2,2016,A lithium ion conductor in Li4SiO4-Li3PO4-LiBO2 ternary system,10.1016/j.ssi.2016.06.010
Yes,Not found,Not found,Not found,PEGME-borate ester doped with CF3SO3Li at various [EO]:[Li] ratios,Not found,2017,Polymer Electrolytes Based on Borane/Poly(ethylene glycol) Methyl Ether for Lithium Batteries,10.1155/2017/4839410
Yes,Coin,LiCoO2,Graphite,"1M LiPF6 in EC/DEC/DMC (1:1:1, v/v)",B2O3,2017,"Stable, fast and high-energy-density LiCoO2 cathode at high operation voltage enabled by glassy B2O3 modification",10.1016/j.jpowsour.2017.06.050
Yes,Coin,Mn-based (proprietary composition),Graphite,"EC/DEC (3:7 v/v) with 1M LiPF6, EC/DMC (1:1 w/w) with 1M LiPF6, EC/EMC (1:1 w/w) with 1M LiPF6",Not found,2014,"Ethylene bis-carbonates as telltales of SEI and electrolyte health, role of carbonate type and new additives",10.1016/j.electacta.2014.05.072
Not found,Not found,Not found,Not found,Not found,Not found,2018,Ruthenium oxide modified hierarchically porous boron-doped graphene aerogels as oxygen electrodes for lithium-oxygen batteries,10.1039/c8ra08763f
Yes,Not found,Not found,Not found,xLi3BO3-(1-x)Li3.5Si0.5P0.5O4 (0≤x≤0.2),Li3BO3,2015,Enhanced ionic conductivity of Li3.5Si0.5P0.5O4 with addition of lithium borate,10.1016/j.ssi.2015.10.009
Yes,Not found,Not found,Not found,Not found,FLBDOB,2010,"A new lithium salt with 3-fluoro-1,2-benzenediolato and oxalato complexes of boron for lithium battery electrolytes",10.1016/j.jpowsour.2009.12.049
Yes,Not found,BiF3,Not found,LiBOB 0.25/TPhBX 0.25/sat_CsF/G4,LiBOB and TPhBX,2020,Fluoride shuttle batteries: On the performance of the BiF3 electrode in organic liquid electrolytes containing a mixture of lithium bis(oxalato) borate and triphenylboroxin,10.1016/j.ssi.2020.115499
Yes,Not found,Not found,Not found,Na4(B12H12)(B10H10),Not found,2019,Direct Solution-Based Synthesis of Na4(B12H12)(B10H10) Solid Electrolyte,10.1002/cssc.201902152
Yes,Coin,LiMn2O4,NiFe saponite (NF-SAP),"1 M LiClO4 or NaClO4 in a mixed solution of EC, DMC, and FEC (with a volume ratio of 5:5:1)",FEC (fluoroethylene carbonate),2020,NiFe saponite as a new anode material for high-performance lithium-ion batteries,10.1039/c9ta12895f
Yes,Not found,LiFePO4,Lithium metal,"P(V-B) solid polymer electrolyte with LiTFSI, vinylene carbonate, and B-PEGMA",Not found,2019,"A borate decorated anion-immobilized solid polymer electrolyte for dendrite-free, long-life Li metal batteries",10.1039/c9ta07551h
Yes,Coin,LiV3O8,Lithium Metal,1.0 M LiTFSI in EC:DEC (1:1 vol %),Not found,2016,Gel Polymer Electrolytes Containing Anion-Trapping Boron Moieties for Lithium-Ion Battery Applications,10.1021/acsami.6b09601
Yes,Not found,Not found,Not found,Not found,Not found,2021,"Iodine-Substituted Lithium/Sodium closo-Decaborates: Syntheses, Characterization, and Solid-State Ionic Conductivity",10.1021/acsami.1c01659
Yes,Coin,LiFePO4,Lithium metal,PEO blended with LiPBPAB (sp3 boron-based single ion conducting polymer electrolyte),Not found,2015,Toward ambient temperature operation with all-solid-state lithium metal batteries with a sp3 boron-based solid single ion conducting polymer electrolyte,10.1016/j.jpowsour.2015.12.010
Yes,Powder microelectrode,Not found,Not found,PC/ACN (1:5 volume ratio) with 0.5 M LiPF6 and 0.5 wt% TPFPB,TPFPB,2012,Electrochemical oxidation of solid Li2O2 in non-aqueous electrolyte using peroxide complexing additives for lithium-air batteries,10.1016/j.elecom.2012.12.003
Yes,Not found,Not found,B2S,Not found,Not found,2019,Excellent Electrolyte Wettability and High Energy Density of B2S as a Two-Dimensional Dirac Anode for Non-Lithium-Ion Batteries,10.1021/acsami.9b07219
Yes,Not found,Not found,Not found,EC-DFDMC equimolar binary solution containing 1 mol dm^-3 LiPF6,DFDMC,2004,Physical and electrolytic properties of difluorinated dimethyl carbonate,10.1016/j.jfluchem.2004.05.008
Yes,Not found,Not found,Not found,Not found,Not found,2021,Hydrated alkali-B11H14 salts as potential solid-state electrolytes,10.1039/d1ta01551f
Yes,Not found,Not found,Tetragonal boron (B50) thin film,1 M LiPF6 in ethylene carbonate and dimethyl carbonate with a volume ratio of 1:1,Not found,2012,Temperature-dependent lithium storage behavior in tetragonal boron (B50) thin film anode for Li-ion batteries,10.1016/j.electacta.2012.09.017
Yes,Coin,Li[Li0.2Ni0.13Mn0.54Co0.13]O2,Lithium,"1.0 M LiPF6 in EC/EMC/DEC (3/5/2, in weight) with 2 wt% TMB",Trimethyl borate (TMB),2016,Insight into self-discharge of layered lithium-rich oxide cathode in carbonate-based electrolytes with and without additive,10.1016/j.jpowsour.2016.05.074
Yes,Coin and Bag,LiNi0.8Co0.15Al0.05O2,Graphite,1.2 M LiPF6 EC:EMC 3:7 (vol%),LiBF4 and LDFOB,2017,Impacts of lithium tetrafluoroborate and lithium difluoro(oxalate)borate as additives on the storage life of Li-ion battery at elevated temperature,10.1007/s11581-017-2350-0
Yes,Coin,Not found,Reduced Graphene Oxide/Boron Nitride Composite Film,"1.0 M LiPF6 dissolved in a mixture of ethylene carbonate and diethyl carbonate (EC/DEC, 1:1 by volume)",Not found,2015,Reduced Graphene Oxide/Boron Nitride Composite Film as a Novel Binder-Free Anode for Lithium Ion Batteries with Enhanced Performances,10.1016/j.electacta.2015.03.109
Yes,Coin,LiNi1/3Co1/3Mn1/3O2,Lithium metal,"1 M LiPF6 in a mixture of ethyl carbonate, propylene carbonate, ethyl methyl carbonate, and butyl acetate",Not found,2014,Highly enhanced low temperature discharge capacity of LiNi1/3Co1/3Mn1/3O2 with lithium boron oxide glass modification,10.1016/j.jpowsour.2014.11.149
Yes,Coin,Li1.1[Mn1/3Ni1/3Co1/3]0.9O2,MCMB (mesocarbon microbeads),1.0 M LiDFOB in EC/PC/DMC (1:1:3 by weight),LiDFOB,2006,Lithium difluoro(oxalato)borate as salt for lithium-ion batteries,10.1149/1.2409743
Yes,Coin,Not found,Graphite,"1 M LiPF6 dissolved in a mixture of ethylene carbonate (EC) and diethylene carbonate (DEC) (1:1, v/v) with 5% fluoroethylene carbonate (FEC)",Not found,2019,Hollow Boron-Doped Si/SiOx Nanospheres Embedded in the Vanadium Nitride/Nanopore-Assisted Carbon Conductive Network for Superior Lithium Storage,10.1021/acsami.9b14912
Yes,Not found,LiFePO4,Lithium metal,1M LiTFSI in EC:DEC (1:1 vol%),PFPE-functionalized 2D boron nitride nanoflakes (FBN),2017,"2D boron nitride nanoflakes as a multifunctional additive in gel polymer electrolytes for safe, long cycle life and high rate lithium metal batteries",10.1039/c7ee01095h
Yes,Not found,LiFePO4,Lithium metal,"PVDF-HFP, LiTFSI, [EMIM][TFSI], PDA@BN",PDA@BN,2020,Enhanced ion transport in PVDF-HFP gel polymer electrolyte containing PDA@BN for lithium ion batteries,10.1016/j.matlet.2020.128391
Yes,Coin,Not found,LiBC,1M LiClO4 in ethylene carbonate/diethyl carbonate (EC/DEC 1:1 by volume),Not found,2018,Crystallinity-dependent capacity of a LiBC anode material in Li-ion batteries,10.1039/c8cp05561k
Not found,Not found,Not found,Not found,Not found,Not found,2014,A dispersion-corrected DFT study on adsorption of battery active materials anthraquinone and its derivatives on monolayer graphene and h-BN,10.1039/c4ta00103f
Yes,Coin,LiNiO2,Graphite,1.0 M LiPF6 in FEC/FEMC/HFE (2:6:2 by weight) with 2 wt% LiDFOB additive,LiDFOB,2019,Designing In-Situ-Formed Interphases Enables Highly Reversible Cobalt-Free LiNiO2 Cathode for Li-ion and Li-metal Batteries,10.1016/j.joule.2019.08.004
Yes,Coin,V2O5,Li metal,0.5 mol dm-3 LBNB in EC-DME (mol ratio 2:3) binary solvent mixture,Not found,1997,Use of a chelate complex with boron as a lithium salt for lithium battery electrolytes,10.1149/1.1837927
Yes,Microbattery,LiCoO2,Li,Li3.09BO2.53N0.52 (LiBON),Not found,2016,High-performance flexible all-solid-state microbatteries based on solid electrolyte of lithium boron oxynitride,10.1016/j.jpowsour.2016.07.114
Yes,Not found,β12-borophene,Lithium,Not found,Not found,2017,Two-dimensional boron as an impressive lithium-sulphur battery cathode material,10.1016/j.ensm.2017.12.024
Yes,Coin,Li1.2Ni0.16Mn0.56Co0.08O2 (LR-NMC),Lithium metal,1 M LiPF6 in EC:DMC (1:1 wt%),Tris(pentafluorophenyl)borane (TPFPB),2019,Understanding the Electrode/Electrolyte Interface Layer on the Li-Rich Nickel Manganese Cobalt Layered Oxide Cathode by XPS,10.1021/acsami.9b14389
Yes,Coin,LiNi1/3Co1/3Mn1/3O2,Lithium metal,1.15 M LiPF6 in ethylene carbonate (EC)/dimethyl carbonate (DMC)/diethyl carbonate (DEC) (3:4:3 vol.%),Not found,2011,Nano SIMS characterization of boron- and aluminum-coated LiNi1/3Co1/3Mn1/3O2 cathode materials for lithium secondary ion batteries,10.1007/s10800-011-0369-x
Yes,Coin,Not found,Not found,Dynamic network electrolytes (DNEs) with boronic ester crosslinks and LiTFSI salt,Not found,2021,Effects of crosslinking density and Lewis acidic sites on conductivity and viscoelasticity of dynamic network electrolytes,10.1002/pol.20210207
Yes,Not found,Not found,Not found,"EC/DMC (w/w ratio 2:5) and PEODME doped with LiCF3SO3, modified with TPFPB",TPFPB (tris(pentafluorophenyl)borane),2010,"Studies on the influence of tris(pentafluorophenyl)borane on the properties of ethylene carbonate, dimethyl carbonate and poly(ethylene oxide) dimethyl ether lithium trifluoromethanesulfonate electrolytes",10.1016/j.jpowsour.2010.01.026
Not found,Not found,Not found,Zinc,6 M KOH and 0.2 M Zn(Ac)2,Not found,2018,Synergistic electrocatalytic oxygen reduction reactions of Pd/B4C for ultrastable Zn-air batteries,10.1016/j.ensm.2018.04.010
Yes,Not found,Boron Carbide (B4C),Lithium (Li),Not found,Not found,2015,Enhanced cyclability of rechargeable Li-O2 batteries enabled by boron carbide,10.1039/c5ra24880a
