idx,DOI,title,appropriate,reason,format,battery_system,cathode_material,anode_material,electrolyte_confirmed,additive_full_name,additive_abbr_name,boron_additive_full_name,boron_additive_abbr_name,abstract,year
364,10.1021/acsami.0c09948,Critical Issues of Fluorinated Alkoxyborate-Based Electrolytes in Magnesium Battery Applications,No,"Additive information is not found, so it cannot be determined if it is appropriate for the battery's electrolyte requirements.",Not found,Magnesium rechargeable battery (MRB),Not found,Magnesium metal,Not found,Not found,Not found,Not found,Not found,"['The development of noncorrosive but highly efficient electrolytes has been a long-standing challenge in magnesium rechargeable battery (MRB) research fields. As fluorinated alkoxyborate-based electrolytes have overcome serious problems associated with conventional electrolytes, they are regarded as promising for practical MRB applications. An electrolyte containing representative magnesium fluorinated alkoxyborate Mg[B(HFIP)(4)](2) ([B(HFIP)(4)]: tetrakis(hexafluoroisopropoxy) borate) was prepared through general synthetic routes using Mg(BH4)(2); however, it shows poor electrochemical magnesium deposition/dissolution behavior. Herein, we report an alternative synthetic route of highly reactive Mg[B(HFIP)(4)](2) and several critical issues associated with the use of Mg[B(HFIP)(4)](2)/glyme electrolytes in MRBs. The cycling performance of the electrolytes as well as the synthetic reproducibility of the salt was significantly improved upon adopting a transmetalation reaction between certain magnesium and boron compounds for the salt preparation. Despite the outstanding electrochemical activity of Mg[B(HFIP)(4)](2)/glyme, the electrolytes were unstable with the magnesium metal. The remarkably high dissociativity of Mg[B(HFIP)(4)](2) in glyme solutions and the resulting enhanced induction interaction of Mg2+ with coordinated glymes make the solutions reductively unstable. Surface passivation by [TFSA]-based electrolytes (TFSA: bis(trifluoromethanesulfonyl)amide) effectively suppressed the decomposition of Mg[B(HFIP)(4)](2)/glyme electrolytes. This passivation simultaneously caused a large overpotential for electrochemical cycling. The short-circuiting of the cells upon repeated deposition/dissolution cycling is rather problematic. Here, the findings disclose the issues of fluorinated alkoxyborate-based electrolyte solutions that should be resolved for practical MRB materialization. We also emphasize the importance of systematic strategies in manipulating the electrolytes and interfaces as well as base magnesium metal based on each appropriate approach.']",2020
365,10.1002/slct.201900874,Improvement of Cycleability and Rate-Capability of LiNi0.5Co0.2Mn0.3O2 Cathode Materials Coated with Lithium Boron Oxide by an Antisolvent Precipitation Method,Not found,Not found,Coin,Li-ion battery,LiNi0.5Co0.2Mn0.3O2 (NCM),Not found,1M LiPF6/EC:DMC (1:2),Not found,Not found,Not found,Not found,"['LiNi0.5Co0.2Mn0.3O2 (NCM) particles coated with lithium boron oxide were prepared by an antisolvent precipitation method. In the antisolvent precipitation method, ethanol was used to strip off the hydrated water coordinated with lithium ions and borate ions. By the antisolvent precipitation method, the NCM particles were coated with a uniform layer of LiBO2. The capacity fading on cycling was successfully suppressed for the lithium boron oxide-coated samples. In addition, the rate capability was also improved by the coating. The lithium boron oxide coating effectively suppressed the increase of the electrode impedance associated with the electrolyte decomposition. Crack formation in the secondary particles after charge-discharge cycling was greatly inhibited for lithium boron oxide-coated NCM. It was demonstrated that the lithium boron oxide coating layer suppressed the side reactions not only on the particle surface, but also in the intergranular cracks by inhibiting the penetration of the electrolyte solution.']",2019
366,10.1016/j.tsf.2019.06.055,Effect of boron/phosphorus ratio in lithium boron phosphorus oxynitride thin film electrolytes for all-solid-state thin film batteries,No,"The additive is not found, which may not meet the battery's electrolyte requirements as additives are often necessary for performance enhancement or stability.",Thin film,Li-ion battery,Not found,Not found,Not found,Not found,Not found,Not found,Not found,"['For application to all-solid-state thin film batteries, lithium boron phosphorus oxynitride (LiBPON) thin films were fabricated by RF magnetron sputtering technique of lithium borate (Li3BO3) and lithium phosphate (Li3BO4) target under N-2 atmosphere. To investigate the mixed former effect upon the LiBPON thin films, we prepared various films with controlled B and P contents. The LiBPON thin film formulation with nearly equal B and P contents showed the highest room-temperature lithium ionic conductivity of 3.52 x 10(-6)S cm(-1) and the lowest activation energy of 48.24 kJ mol(-1) owing to the mixed former effect, the increased lithium content and nitridation. Infrared spectra of the glass thin films achieved two dominant peaks corresponding to BO33- and PO43- unit. N1s spectra were analyzed by X-ray photoelectron spectroscopy that the increased ionic conductivities observed were related to the formation of triply coordinated nitrogen.']",2019
367,10.1039/c7ta05009g,Achieving highly stable Li-O2 battery operation by designing a carbon nitride-based cathode towards a stable reaction interface,No,Additive not found in the provided information.,Swagelok-type,Li-O2 battery,RuO2@m-BCN,Lithium,0.5 M LiClO4 in dimethyl sulfoxide (DMSO),Not found,Not found,Not found,Not found,"['Aprotic Li-O-2 batteries have attracted a great deal of attention because of their potential to offer much higher energy density than those provided by commercialized lithium-ion batteries. However, their reversible operation is plagued by serious side-reactions from liquid electrolytes and/or carbon-based materials. Recently, carbon-free materials have been proposed and utilized to construct stable cathodes for Li/O-2 chemistry. Different from most of the previously reported metal-based carbon-free cathodes, herein we report a non-metal-based carbon-free cathode support consisting of mesoporous borondoped carbon nitride (m-BCN) and demonstrate its excellent stability and activity for Li/O-2 chemistry. Benefiting from the introduction of evenly distributed RuO2 nanoparticles (1-2 nm) in the pores of the boron-doped carbon nitride support, excellent cycle stability with a low overpotential (141 cycles with a pristine Li anode which is extended to 227 cycles after replacing it with a new Li anode at 0.5 mA cm(-2)) and superior rate capability (1.28 mA h cm(-2) at 1 mA cm(-2)) are obtained. This impressive performance is ascribed to the enhanced stability and activity of such designed cathodes, which is supported by the fact that reversible formation and decomposition of Li2O2 with no accumulation of Li2CO3 is detected during cycling. These results demonstrate that manipulating cathode materials towards stable reaction interfaces is essential for alleviating the formation of by-products and improving the performance of LiO2 batteries.']",2017
368,10.1016/j.jpowsour.2011.07.065,Crystal structure and physical properties of lithium difluoro(oxalato)borate (LiDFOB or LiBF2Ox),Not found,Not found,Not found,Li-ion battery,Not found,Graphite,Not found,Lithium Difluoro(oxalato)borate (LiDFOB),LiDFOB,Lithium Difluoro(oxalato)borate,LiDFOB,"['The structural characterization and properties of lithium difluoro(oxalato)borate (LiDFOB) are reported. LiDFOB was synthesized as previously described in the literature via direct reaction of boron trifluoride diethyl etherate with lithium oxalate. The crystal structure of the salt was determined from single crystal X-ray diffraction yielding a highly symmetric orthorhombic structure (Cmcm, a=6.2623(8)angstrom, b=11.4366(14)angstrom.c = 6.3002(7)angstrom, V=451.22(9)angstrom(3),Z=4 at 110 K). Single crystal X-ray diffraction of a dihydrate of LiDFOB yielded a monoclinic structure (P2(1/c),a =9.5580(3)angstrom, b=12.7162(4)angstrom, c=5.4387(2)angstrom, V=634.63(4)angstrom(3), Z=4 at 110K). Along with the crystal structures, additional structural information and the properties of LiDFOB (via B-11 and F-19 NMR, DSC, TGA and Raman spectroscopy) have been compared with those of LiBF4 and LiBOB to better understand the differences between these lithium battery electrolyte salts. (C) 2011 Elsevier B.V. All rights reserved.']",2011
369,10.1016/j.electacta.2006.03.023,Electrochemical studies of LiB compound as anode material for lithium-ion battery,Yes,Reasonable,Coin,Li-ion battery,Not found,LiB compound,1 M anhydrous LiPF6 in a 1:1 mixture of ethylene carbonate (EC) and dimethyl carbonate (DMC),Not found,Not found,Not found,Not found,"['Electrochemical studies of LiB compound were carried out for its application as anode for lithium-ion battery. The compound exhibited a reversible discharge-charge behavior between 0 and 0.75 V versus Li/Li+ with a first discharge capacity of 293 mA h g(-1). Discharging to 1.0 V, the first discharge capacity of LiB compound was 660 mA h g(-1), but a part of this capacity was irreversible. Impedance spectra were measured at several potentials corresponding to different discharge plateaus. The impedance spectra obtained below and above 0.8V presented significantly different features. The solid electrolyte interphase layer (SEI) was formed below 0.8 V and assumed a good performance of LiB electrode in this potential range. The SEI was found to deteriorate above 0.8 V, which might be associated with the irreversible discharge capacity. (c) 2006 Elsevier Ltd. All rights reserved.']",2006
370,10.1021/acsaem.0c02486,Influences and Mechanisms of Water on a Solid Electrolyte Interphase Film for Lithium-Ion Batteries,Yes,Reasonable,Coin,Li-ion battery,Not found,Graphite (MCMB),0.7 M LiBOB in EC/DEC (1:1 by volume),Lithium bis(oxalato)borate (LiBOB),LiBOB,Lithium bis(oxalato)borate,LiBOB,"['Trace water, one of the most common impurities, has a fatal influence on the performance of lithium-ion batteries (LIBs). In this work, the influences of water content on the solvation structure of lithium ions and the component of solid electrolyte interphase (SEI) film in the lithium bis(oxalato)borate (LiBOB)-ethylene carbonate (EC)/diethyl carbonate electrolyte (DEC) system are studied. Results of attenuated total reflection-Fourier transform infrared analysis and density functional theory (DFT) calculation show that a great number of solvation structures of Li+(EC)(2)(H2O)(2) and Li+(EC)(3)(H2O) are formed in the electrolyte system with additional H2O. Besides, the free H2O generated by the desolvation effect will react with the desolvated Li+ ions and the heterogeneous organic components in the outer layer of a SEI film. These parasitic reactions will lead to an overgrown and excessive inorganic componentcontaining SEI film, which harms the Li+ ion conductive characteristics of the SEI film and the electrochemical performance of LIBs. In particular, insoluble LiB(C2O4)(OH)(2) and B(C2O4)OH products are generated when the content of the additional H2O reaches 10,000 ppm because of the hydrolytic reaction. Moreover, it is because of the generation of these poor ion-conductive boron-containing substances that the impedance of the cell increases sharply. These studies can provide the theoretical basis for battery failure analysis.']",2021
371,10.1016/j.ssi.2011.11.034,The mixed glass former effect in twin-roller quenched lithium borophosphate glasses,No,"The additive is not found, which may not meet the battery's electrolyte requirements as additives are often necessary for performance and stability.",Not found,Li-ion battery,Not found,Not found,Not found,Not found,Not found,Not found,Not found,"['A whole series of lithium borophosphate glasses of composition 45 Li2O-55 [x B2O3-(1 - x) P2O5], 0 <= 1x <= 1 was prepared for the first time, thanks to the use of the twin roller quenching technique. As their more popular sodium counterparts, these glasses exhibit a mixed glass former effect with non linear increase in both glass transition temperature and conductivity when phosphorous is replaced by boron. A fairly good conductivity (similar to 2 x 10(-7) Omega(-1).cm(-1) at room temperature) coupled to a high T-g (similar to 450 degrees C) makes these glasses interesting as solid electrolytes for the development of thin-film batteries. A structural investigation was carried out both by Raman spectroscopy and for the first time, by B-11 NMR at high field, 18.8 T. Raman spectra showed the signature of many types of vibrations indicating the presence of a large variety of entities in the glasses. B-11 NMR at 18.8 T helped in separating the resonances of three-coordinated and four-coordinated boron species and counting them by direct integration. On the whole it was shown that while the T-g evolution relied upon the presence of mixed borophosphate entities, the conductivity was directly linked to the presence of BO4 entities alone irrespective of their specific environment. (C) 2011 Elsevier B.V. All rights reserved.']",2011
372,10.1039/d5ta01263e,"Correlating the mechanism, kinetics, and SEI formation of a boron-doped graphene anode for high-performance alkali ion batteries",Yes,Reasonable,Coin,"Li-ion battery, Na-ion battery, K-ion battery",Not found,Boron-doped thermally exfoliated graphene (BTEG),"1 M LiPF6 in EC/DEC for LIBs, 1 M NaPF6 in EC/DEC/FEC (10 vol%) for SIBs, 5 M KFSI in EC/DEC for PIBs",Not found,Not found,Not found,Not found,"['Graphite has been used extensively for Li-ion batteries (LIBs) due to its low cost, abundant resources, and long-term stability. However, graphite exhibits limited capacity in LIBs, significantly poor capacity in Na-ion batteries (SIBs), and inferior cycling stability in K-ion batteries (PIBs), which hinders the development of sustainable next-generation battery technologies. Heteroatom doping and tuning interlayer spacing are known to be effective solutions for carbon-based materials. Such modified anodes can exhibit high capacity and cyclability with numerous active sites. Here, we report boron-doped thermally exfoliated graphene (BTEG), which exhibits a high reversible capacity of 1014 mA h g-1 (LIBs), 295 mA h g-1 (SIBs), and 369 mA h g-1 (PIBs) at a current density of 25 mA g-1. We used operando/in situ measurements such as Raman spectroscopy and electrochemical impedance spectroscopy to investigate the fundamentals involved during the real-time phenomenon of BTEG/alkali-ion batteries. Consequently, it helps assess the reaction mechanism and kinetics to establish a structure-performance relationship for all three batteries with the BTEG anode. Finally, based on solid electrolyte interphase (SEI) understanding and electrolyte tuning, highly reversible batteries were attained for up to 1000 cycles at a high current density of 1 A g-1.']",2025
373,10.1002/app.35081,"Synthesis, characterization, and ionic conductivity of novel crosslinked polymer electrolytes for Li-ion batteries",No,Not found,Not found,Li-ion battery,Not found,Not found,Crosslinked polymer electrolytes doped with lithium trifluoromethane-sulfonate (CF3SO3Li) salt,Not found,Not found,Not found,Not found,"['In this work, we communicate on the synthesis, characterization, and ionic conductivity of a series of novel crosslinked inorganicorganic gel polymer electrolytes. These crosslinked polymers were prepared by the modification of poly(vinyl alcohol) (PVA) with poly(ethylene glycol) (PEG) in the presence of borane-tetrahydrofuran (BH3/THF) complex. During crosslinking, the polymer was doped with lithium trifluoromethane-sulfonate (CF3SO3Li) salt. Molecular weight of both PVA and PEG was varied, and the concentration of Li-salt was arranged for the ratio of lithium atoms to ether oxygen atoms. Boron-containing polymer electrolytes were produced and abbreviated as PVA1PEGX-Y and PVA2PEGX-Y. The reaction of PEG with PVA and the interaction of Li+ ions with EO units were confirmed by FTIR. Thermal stability of these materials was measured with thermogravimetric analysis, and thermal behaviors were measured by differential scanning calorimetry. The ionic conductivity of these novel polymer electrolytes was studied by dielectric-impedance spectroscopy. Li-ion conductivity of these crosslinked polymer electrolytes depends on the length of the side units as well as the doping ratio. The maximum ionic conductivity was measured as 10(-4) S cm(-1) at room temperature. (C) 2011 Wiley Periodicals, Inc. J Appl Polym Sci, 2012']",2011
374,10.1016/S0378-7753(97)02588-3,Electrode and solid electrolyte thin films for secondary lithium-ion batteries,No,"The additive is not found, indicating it may be missing or unspecified, which could be inappropriate for the battery's electrolyte requirements.",Thin film,Li-ion battery,Li_{1.2}Mn_2O_4,Li_{1.2}Mn_2O_4,Not found,Not found,Not found,Not found,Not found,"['Electrostatic spray deposition (ESD) was employed to prepare thin layers of Li1.2Mn2O4 (nominal composition) and BPO4:0.035Li(2)O for all-solid-state thin film lithium-ion batteries. The relationships between layer morphologies and deposition conditions such as solvent composition of the precursor solutions and substrate temperature were investigated. It was found that a low substrate temperature and/or high boiling point of the solvent may lead to a relatively dense structure. Reticular porous structures are formed, if films were deposited at 250 degrees C and a mixture of 85 vol.% butyl carbitol and 15 vol.% ethanol was used as the solvent. The Li1.2Mn2O4 layers, formed in the 250-400 degrees C temperature range, were amorphous or micro-crystalline. After annealing beyond 600 degrees C, they could be crystallized into a spinel-structured material. Glassy BPO4:0.035Li(2)O layers could fill the pores of porous Li1.2Mn2O4 layers to form a dense intermediate electrolyte layer. Thin-film rocking-chair batteries, Li1.2Mn2O4\\BPO4:0.035Li(2)O\\Li1.2Mn2O4/Al, were prepared and revealed an open-circuit voltage of about 1.2 V after charging. (C) 1997 Elsevier Science S.A.']",1997
375,10.1016/j.energy.2011.03.003,Analysis of 3000 T class submarines equipped with polymer electrolyte fuel cells,No,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,"['The naval submarines have conventionally been equipped with diesel-electric propulsion. The diesel generators charge the batteries when the submarine is at the surface or at snorkelling depth. This is the biggest short-coming of this system as the submarine can be detected due to the infrared signatures from the exhaust of engines. Present study aims in analysing the feasibility of using fuel cells as a replacement of conventional diesel based system. Fuel cell system is analysed to meet the propulsion load and hotel load. In this purpose, metal hydride and sodium borohydride are considered for fuel and compressed oxygen and liquid oxygen are considered as oxidant. The most effective combination with respect to weight, volume has been analysed. The submerged endurance and distance for various hotel loads under submerged conditions have also been estimated. It is found that the metal hydride and liquid oxygen combination can be easily retrofitted by replacing the conventional system. However, MH/O-2, SBH/O-2 and SBH/LOX require some extra room to be created. All the systems show substantial enhancement in the submerged endurance. (C) 2011 Elsevier Ltd. All rights reserved.']",2011
376,10.1016/j.cclet.2024.109775,Enhancing moisture and electrochemical stability of the Li5.7 PS4.7 Cl1.3 electrolyte by boron nitride coating for all-solid-state lithium metal batteries,Yes,Reasonable,Not found,All-solid-state lithium metal battery,NCM811 (LiNi0.8Co0.1Mn0.1O2),Lithium metal,Li5.7PS4.7Cl1.3 (LPSC1.3) with boron nitride coating,Boron nitride,BN,Boron nitride,BN,"['Weak water stability and lithium reactivity are two major stability issues of sulfide solid-state electrolytes (SSEs) for all-solid-state lithium metal batteries. Here, we report on nano-sized boron nitride (BN)-coated Li-5.7 PS4.7 Cl-1.3 (BN@LPSC1.3) sulfide SSE, which exhibits reduced H-2 S emission and improved ionic conductivity retention after relative humidity 1.2 %-1.5 % ambient condition exposure. Furthermore, BN can partially react with lithium metal to create stable Li-3 N, resulting in BN@LPSC1.3 showing reduced reactivity against lithium metal and a higher critical current density of 2.2 mA/cm(2) . The Li/BN@LPSC/Li symmetrical battery also shows considerably greater stability for > 2000 h at a current density of 0.1 mA/cm(2) . Despite the high cathode mass loading of 13.38 mg/cm(2) , the LiNi0.8Co0.1Mn0.1O2/BN@LPSC1.3/Li all-solidstate lithium metal battery achieves 84.34 % capacity retention even after 500 cycles at 0.1 C and room temperature (25 degrees C). (c) 2025 Published by Elsevier B.V. on behalf of Chinese Chemical Society and Institute of Materia Medica, Chinese Academy of Medical Sciences.']",2025
377,10.1039/c6cp01309k,Isothermal microcalorimetry as a tool to study solid-electrolyte interphase formation in lithium-ion cells,Yes,Reasonable,Pouch,Li-ion battery,NMC442,Graphite,1 mol L^{-1} LiPF_6 in EC/EMC (3:7 by mass),"Vinylene carbonate (VC), Fluoroethylene carbonate (FEC), Pyridine boron trifluoride (PBF), Prop-1-ene-1,3-sultone (PES)","VC, FEC, PBF, PES",Pyridine boron trifluoride,PBF,"['Isothermal microcalorimetry can be used in conjunction with electrochemical measurements to study solid-electrolyte interphase (SEI) formation reactions as they occur in a Li-ion cell. The heat flow was measured in wound cells that contained no electrolyte additives and in cells prepared with four additives that are known to produce an SEI at the negative electrode surface: vinylene carbonate (VC), fluoroethylene carbonate (FEC), pyridine boron trifluoride (PBF), and prop-1-ene-1,3-sultone (PES). For VC, two distinct features in the differential capacity (dQ/dV vs. Q) plot that align with overlapping peaks in the heat flow plot do not agree with a simple one-electron reduction followed by anionic polymerization. For FEC, three distinct differential capacity and calorimetric peaks are observed. Heat flow measurements at multiple PBF concentrations show that PBF reduction does not significantly affect the reduction of EC at higher cell voltage. The total heat flow during SEI formation in PBF- and PES-containing cells match the calculated energies in recently published reaction pathways. It is concluded that IMC may be used to study the underlying chemistry of SEI formation, especially when paired with computational studies.']",2016
378,10.1007/s00289-011-0575-z,Hyperbranched organoboron polymer electrolytes derived from glycerol,No,"Additive information is not provided or not found, making it impossible to assess appropriateness.",Not found,Li-ion battery,Not found,Not found,Not found,Not found,Not found,Not found,Not found,"['Solid polymer electrolytes are still collecting attention today for development of safer Li-ion batteries. Introduction of boron moieties to electrolytes generally improves ion conductive properties of resultant electrolytes. Herein, we have undertaken dehydrocoupling reaction between glycerol (Gly)/triethylene glycol (TEG) and hydroborane to synthesize highly branched organoboron polymer electrolytes. Increase in amorphous nature of polymer due to branched structure improved the ionic conduction. This was supported from decreased Vogel-Fulcher-Tammann parameters corresponding to activation energy of ion transport in matrices. When Gly content was increased beyond [Gly]/[TEG] = 15%, ionic conductivity decreased due to decrease in solubility of the salt in organoboron polymer matrix.']",2011
379,10.1016/j.jpowsour.2010.08.020,Inorganic-organic polymer electrolytes based on poly(vinyl alcohol) and borane/Poly(ethylene glycol) monomethyl ether for Li-ion batteries,No,Additive not found in the provided information.,Not found,Li-ion battery,Not found,Not found,Polymer electrolytes based on PVA-PEGME copolymers doped with CF3SO3Li,Not found,Not found,Not found,Not found,"['In this study, poly(vinyl alcohol) (PVA) was modified with poly(ethylene glycol) monomethyl ether (PEGME) using borane-tetrahydrofuran (BH3/THF) complex. Molecular weights of both PVA and PEGME were varied prior to reaction. Boron containing comb-branched copolymers were produced and abbreviated as PVA1PEGMEX and PVA2PEGMEX. Then polymer electrolytes were successfully prepared by doping of the host matrix with CF3SO3Li at several stoichiomeric ratios with respect to EO to Li. The materials were characterized via nuclear magnetic resonance (H-1 NMR and B-11 NMR). Fourier transform infrared spectroscopy (FT-IR). Thermogravimetry (TG) and differential scanning calorimeter (DSC). The ionic conductivity of these novel polymer electrolytes were studied by dielectric-impedance spectroscopy. Li-ion conductivity of these polymer electrolytes depends on the length of the side units as well as the doping ratio. Such electrolytes possess satisfactory ambient temperature ionic conductivity (>10(-4) Scm(-1)). Cyclic voltammetry results illustrated that the electrochemical stability domain extends over 4V. (C) Elsevier B.V. All rights reserved.']",2010
380,10.1016/j.ssi.2013.07.009,Lithium borophosphate thin film electrolyte as an alternative to LiPON for solder-reflow processed lithium-ion microbatteries,Not found,Not found,Microbattery,Li-ion battery,Not found,Not found,Lithium borophosphate (LiPOB) thin films with various B/P ratios,Not found,Not found,Not found,Not found,"['Microbatteries are energy sources well adapted to power various microsystems. To be considered as a microelectronic component, the microbatteries must be compatible with the solder-reflow treatment During this industrial process, the temperature reaches 260 degrees C during few seconds. Having noticed an increase of the activation energy of the most used solid electrolyte lithium phosphate thin film (LiPON) after this type of thermal treatment, from 0.57 eV to 0.80 eV, we have investigated the correlations between composition, local structure (by XPS) and the electrical properties of lithium borophosphate solid electrolyte thin films. The lithium borophosphate thin films were prepared by radio-frequency sputtering using five different targets having the following compositions x LiBO2: (1 - x) Li3PO4 (x = 5, 10, 15, 20 and 25) in a pure argon discharge gas. In the absence of a thermal treatment, the addition of a small amount of boron (B/P ratio equal to 0.1) leads to an increase of the ionic conductivity (1.1 x 10(-6) S.cm(-1)) and a decrease of the activation energy (0.52 eV) compared to a pure lithium phosphate. However, for B/P ratio higher than 0.12, the ionic conductivity decreases, The study of the local structure by X-ray photoelectron spectroscopy (XPS) shows that the borate groups have less reacted with the phosphate groups leading to a phase separation reducing the connectivity between phosphate and borophosphate networks and so the ionic conductivity. The solder-reflow type thermal treatment leads to an increase of the ionic conductivity. The best ionic conductivity, 1.9 x 10(-6) S.cm(-1), is obtained for a B/P ratio equal to 0.24 with an activation energy of 0.57 eV instead of 0.80 eV for the LiPON thin film. For a use of Li-ion microbattery at low temperature after the solder-reflow type thermal treatment, the lithium borophosphate solid electrolyte would be a potential candidate to replace LiPON with several industrial advantages. (C) 2013 Elsevier B.V. All rights reserved.']",2013
381,10.1016/j.jpowsour.2010.08.082,Polyfluorinated boron cluster based slats: A new electrolyte for application in nonaqueous asymmetric AC/Li4Ti5O12 supercapacitors,Yes,Reasonable,SwagelokTM cells (two-electrode and three-electrode configurations),Asymmetric supercapacitor (hybrid system),Activated carbon (AC),Li4Ti5O12,"0.4 M Li2B12F12 in EC/DMC (1:1 volume), 0.4 M Li2B12F8H4 in EC/DMC (1:1 volume), and 1 M LiPF6 in EC/DMC (1:1 volume) as reference","Lithium polyfluorododecaborates (Li2B12FxZ12-x, where Z = H, Cl, or Br), specifically Li2B12F12 and Li2B12F8H4","Li2B12F12, Li2B12F8H4","Lithium polyfluorododecaborates (Li2B12FxZ12-x, where Z = H, Cl, or Br), specifically Li2B12F12 and Li2B12F8H4","Li2B12F12, Li2B12F8H4","['Solution of novel fluorinated lithium dodecaborate (Li2B12FxH12-x) salts have been evaluated as electrolytes in nonaqueous asymmetric supercapacitors with Li4Ti5O12 as negative electrode, and activated (AC) as positive electrode. The results obtained with these new electrolytes were compared with those obtained with cells built using standard 1M LiPF6 dissolved in ethylene carbonate and dimethyl carbonate (EC:DMC; 1:1, v/v) as electrolyte. The Specific energy, rate capability, and cycling performances of nonaqueous asymmetric cells based on these new electrolyte salts were studied. Cells assembled using the new fluoroborate salts show excellent reversibility, coulombic efficiency, rate capability and improved cyclability when compared with the standard electrolyte. These features confirm the suitability of lithium-fluoro-borate based salts to be used in nonaqueous asymmetric supercapacitors. (C) 2010 Elsevier B.V. All rights reserved.']",2010
382,10.5796/electrochemistry.78.467,Physical and Electrolytic Properties of Partially Fluorinated Methyl Propyl Carbonate and Its Application to Lithium Batteries,Yes,Reasonable,Coin,Li-ion battery,LiCoO2,Graphite,1M LiPF6 in EC/EMC (3:7 by wt.) with 2% FEC,Not found,Not found,Not found,Not found,"['The physical and electrolytic properties, and charge-discharge characteristics for secondary lithium batteries of partially fluorinated methyl propyl carbonate (MPC) derivatives were examined. Dielectric constants of the fluorinated MPC derivatives except 2,2,3,3,3-pentafluoropropyl methyl carbonate (PFPMC) tend to increase with increasing the number of fluorine atom. Viscosity of PFPMC with the highest molar volume is lower than those of other fluorinated MPC derivatives. Donor numbers (DN) of the fluorinated MPC derivatives were estimated by Si-29 NMR chemical shifts of triphenylsilanol. DN of the fluorinated MPC derivatives except PFPMC tends to decrease with increasing the number of fluorine atom. 3-Fluoropropyl methyl carbonate (FPMC) shows the highest specific conductivity at the temperature above about 25 degrees C. Oxidative decomposition potentials of the fluorinated MPC derivatives tend to increase with increasing the number of fluorine atom. PC-FPMC electrolyte shows higher lithium electrode cycling efficiency. Every PC-based fluorinated MPC derivative electrolyte shows higher discharge capacities for Li vertical bar LiCoO2 cells.']",2010
383,10.1002/smll.201801420,Effective Suppression of Lithium Dendrite Growth Using a Flexible Single-Ion Conducting Polymer Electrolyte,No,"Additive is not found, so it cannot be evaluated for appropriateness.",Coin,Lithium metal battery,LiFePO4,Lithium metal,Not found,Not found,Not found,Not found,Not found,"['A novel single-ion conducting polymer electrolyte (SIPE) membrane with high lithium-ion transference number, good mechanical strength, and excellent ionic conductivity is designed and synthesized by facile coupling of lithium bis(allylmalonato) borate (LiBAMB), pentaerythritol tetrakis (2-mercaptoacetate) (PETMP) and 3,6-dioxa-1,8-octanedithiol (DODT) in an electrospun poly(vinylidienefluoride) (PVDF) supporting membrane via a one-step photoinitiated in situ thiol-ene click reaction. The structure-optimized LiBAMB-PETMP-DODT (LPD)@PVDF SIPE shows an outstanding ionic conductivity of 1.32 x 10(-3) S cm(-1) at 25 degrees C, together with a high lithium-ion transference number of 0.92 and wide electrochemical window up to 6.0 V. The SIPE exhibits high tensile strength of 7.2 MPa and elongation at break of 269%. Due to these superior performances, the SIPE can suppress lithium dendrite growth, which is confirmed by galvanostatic Li plating/stripping cycling test and analysis of morphology of Li metal electrode surface after cycling test. Li vertical bar LPD@PVDF vertical bar Li symmetric cell maintains an extremely stable and low overpotential without short circuiting over the 1050 h cycle. The Li vertical bar LPD@PVDF vertical bar LiFePO4 cell shows excellent rate capacity and outstanding cycle performance compared to cells based on a conventional liquid electrolyte (LE) with Celgard separator. The facile approach of the SIPE provides an effective and promising electrolyte for safe, long-life, and high-rate lithium metal batteries.']",2018
384,10.1016/j.matchemphys.2010.05.041,Electrochemical characteristics of B4C or BN added MnO2 cathode material for alkaline batteries,No,"Boron carbide (B4C) or Boron nitride (BN) are not typical or appropriate additives for aqueous electrolytes like saturated aqueous LiOH with 1 mol l-1 ZnSO4, as they are solid materials that may not dissolve or function effectively in such systems, potentially leading to poor battery performance or safety issues.",Pellet,Alkaline battery,MnO2 with B4C or BN additives,Zinc,Not found,Not found,Not found,Not found,Not found,"['Boron compounds generally produce a battery with high energy density. Since boron is an excellent conductor of electricity a battery with a high power density can also be achieved. With this objective, the electrochemical characteristics of boron carbide (B4C) added manganese dioxide (MnO2) for use as a cathode in alkaline battery were investigated during the discharge-charge process. Results of electrochemical measurements, X-ray diffraction and transmission electron microscopy show that boron aids the formation of lithium intercalated MnO2 (LixMnO2) during discharge with some degree of reversibility, however, capacity fade and a steep voltage profile is observed. The addition of boron nitride (BN) improved the discharge performance and characteristics of the cell are also compared and discussed. (C) 2010 Elsevier B.V. All rights reserved.']",2010
