idx,cell_type,CEI&SEI,additives,additives_abbr,temperatures,details,DOI,cathode,anode,electrolyte,title,abstract
89,LIB,Unspecified,Lithium bis(oxalate)borate,LiBOB,Not found,Unspecified,10.1016/j.ensm.2025.104239,"LiCoO2, NCM811",Lithium metal,1.0 M LiBOB in DME/FEC/HFE (3/5/2 by volume),Anion-diluent synergistic strategy for improved interfacial stability in lithium metal batteries,"['Recently, high-voltage Li metal batteries (LMBs) have shown great potential as high-energy-density energy storage devices. However, current electrolytes struggle to form stable interfacial films on both the Li anode and high-voltage cathode simultaneously, leading to unsatisfactory cycling stability in high-voltage LMBs. Here, lithium bis(oxalate)borate (LiBOB) with a large pi conjugate structure and fluorine-rich hydrofluoroether (HFE) are co-introduced into conventional ether electrolyte to balance dipole-dipole interactions. This results in the formation of an elastic F- and B-O-rich anodic interfacial layer and a robust boron-rich cathode-electrolyte interphase (CEI), leading to superior cycling ability. Consequently, the Li||Cu cell shows an extremely long cycle life of 9500 h under 1 mA cm(-2) and 1 mAh cm(-2), which is the best as reported so far. The Li||LiCoO2 cells exhibit a superior capacity retention of similar to 82.32% under 4.5 V after 160 cycles, with an average CE of > 99.9%. The correspondent Li||NCM811 pouch cells (5 Ah, 400 Wh/kg; 3.3 Ah, 434 Wh/kg) could stably cycle at 0.5 C for 200 cycles and 130 cycles, respectively. This work offers a novel and effective strategy to commercialize ether-based electrolytes for high-energy-density and long-life LMBs.']"
101,LIB,SEI,"tris(pentafluorophenyl) borane, tris(2H-hexafluoroisopropyl) borate","TPFPB, THFPB",Not found,"The article states that the formation of a stable solid electrolyte interface (SEI) layer on the surface of the anode in this type of electrolyte needs to be studied further, and no stable SEI is formed on Cu or Ti electrodes to prevent further electrolyte decomposition. Additionally, for graphite anodes, PC co-intercalation occurs, and the electrolytes do not form an effective SEI to prevent this, leading to issues with anode compatibility.",10.1016/j.jpowsour.2008.03.016,LiCoO2 or LiMn2O4,Graphite (MCMB),"0.6 M LiF and 0.6 M TPFPB in PC/DMC (1:1, v/v) or similar compositions",New electrolytes for lithium ion batteries using LiF salt and boron based anion receptors,"['The thermal and electrochemical stability, as well as compatibility with various bench mark cathode and anode materials of two new lithium fluoride salt (LiF) based electrolytes have been studied. These two new electrolytes are formed by using boron-based anion receptors, tris(pentafluorophenyl) borane (TPFPB), or tris(2H-hexafluoroisopropyl) borate (THFPB) as additives, which were designed and synthesized at Brookhaven National Laboratory (BNL), to dissolve the LiF salt in carbonate solvents. The transference number of Li+ for these electrolytes is as high as 0.7 and the room-temperature conductivity is around 2 x 10(-3) S cm(-1). The electrolytes containing propylene carbonate (PC) show superior low-temperature conductivity properties. The electrochemical window is approaching 5.0 V. It was also found that the new electrolytes work well with LiCoO2 or LiMn2O4 Cathodes. However, when PC containing electrolytes were used, PC co-intercalation is still a problem for graphite anodes. The formation of a stable solid electrolyte interface layer on the surface of anode in this type of electrolyte needs to be studied further. (C) 2008 Elsevier B.V. All rights reserved.']"
109,LIB,Unspecified,Lithium Oxalyldifluoroborate,LiDFOB,Not found,Unspecified,10.1002/adma.202103178,NMC532,Graphite,1.2 m LiFSI/0.05 m LiDFOB in DME/HFE/FEC (3:6:1 by vol),Electrolyte Design Enabling a High-Safety and High-Performance Si Anode with a Tailored Electrode-Electrolyte Interphase,"['Silicon (Si) anodes are advantageous for application in lithium-ion batteries in terms of their high theoretical capacity (4200 mAh g(-1)), appropriate operating voltage (<0.4 V vs Li/Li+), and earth-abundancy. Nevertheless, a large volume change of Si particles emerges with cycling, triggering unceasing breakage/re-formation of the solid-electrolyte interphase (SEI) and thereby the fast capacity degradation in traditional carbonate-based electrolytes. Herein, it is demonstrated that superior cyclability of Si anode is achievable using a nonflammable ether-based electrolyte with fluoroethylene carbonate and lithium oxalyldifluoroborate dual additives. By forming a high-modulus SEI rich in fluoride (F) and boron (B) species, a high initial Coulombic efficiency of 90.2% is attained in Si/Li cells, accompanied with a low capacity-fading rate of only 0.0615% per cycle (discharge capacity of 2041.9 mAh g(-1) after 200 cycles). Full cells pairing the unmodified Si anode with commercial LiFePO4 (approximate to 13.92 mg cm(-2)) and LiNi0.5Mn0.3Co0.2O2 (approximate to 17.9 mg cm(-2)) cathodes further show extended service life to 150 and 60 cycles, respectively, demonstrating the superior cathode-compatibility realized with a thin and F, B-rich cathode electrolyte interface. This work offers an easily scalable approach in developing high-performance Si-based batteries through Si/electrolyte interphase regulation.']"
113,LIB,Unspecified,Silicon dioxide coated boron nitride nanosheets,SiO2@BNNS,Not found,Unspecified,10.1039/d1ta05410d,LiFePO4,Lithium metal,PEO/LiTFSI with SiO2@BNNS filler,Surface-modified boron nitride as a filler to achieve high thermal stability of polymer solid-state lithium-metal batteries,"['Solid polymer electrolytes with low density, low cost, and excellent processability have been the ideal choice for researchers. However, their thermal stability and mechanical properties are so inadequate that it is difficult for them to withstand a sufficiently high temperature and to effectively suppress Li dendrites. PEO cannot inhibit dendrite growth by itself, particularly when the battery is operated at a higher temperature (>80 degrees C) and the mechanical properties of PEO are significantly reduced. At high temperatures, the growth of lithium dendrites is an important factor affecting the cycle life of Li-metal batteries. Therefore, polymer electrolytes with high mechanical strength and excellent thermal stability can overcome the problems associated with Li-metal anodes and realize the application of rechargeable Li batteries in high-temperature situations. Herein, we prepared a polyethylene oxide (PEO) composite polymer electrolyte (CPE) with thermal stability and high mechanical strength via the modification of hexagonal boron nitride nanosheets (h-BNNS). The surface modification of h-BN enhanced the interface interaction between h-BNs and improved the thermal conductivity, thereby greatly enhancing the thermal stability of the battery. At the same time, the surface modification of h-BN enlarged the effective specific surface area of the filler, promoting the interaction with the Lewis acid-base of the anion, and helping the dissociation of Li salts to release more Li+ ions. This type of One Sagittal Two Piercing effect enabled the Li/LiFePO4 full battery with PEO/LiTFSI/SiO2@BNNS (PLSB) composite electrolyte to perform long-term cycles (900 cycles). Even when the battery was operated at a temperature as high as 150 degrees C, it could cycle stably for more than 1000 cycles at a rate of 2C, making the lithium metal battery suitable for operation at higher temperatures.']"
120,LIB,SEI,Lithium polyvinyl alcohol oxalate borate,LiPVAOB,"The article states that the lithium ion battery can still operate at 140°C with the PVDF-LiPVAOB GPE, but it does not specify an optimal operating temperature; it focuses on high-temperature safety rather than optimal performance.","The article mentions that lithium chelatoborates, including the structurally similar LiBOB, can form an effective solid electrolyte interface (SEI) film to stabilize the graphitic anode structure, but it does not specifically address the interaction of LiPVAOB with the SEI film.",10.1002/aenm.201300647,LiFePO4,Graphite,"1 mol L⁻¹ LiPF6 in EC/DMC/EMC (1/1/1, w/w/w)",A Composite Gel Polymer Electrolyte with High Performance Based on Poly(Vinylidene Fluoride) and Polyborate for Lithium Ion Batteries,"['A composite membrane based on electrospun poly(vinylidene fluoride) (PVDF) and lithium polyvinyl alcohol oxalate borate (LiPVAOB) exhibiting high safety (self-extinguishing) and good mechanical property is prepared. The ionic conductivity of the as-prepared gel polymer electrolyte from this composite membrane saturated with 1 mol L-1 LiPF6 electrolyte at ambient temperature can be up to 0.26 mS cm(-1), higher than that of the corresponding well-used commercial separator (Celgard 2730), 0.21 mS cm(-1). Moreover, the lithium ion transference in the gel polymer electrolyte at room temperature is 0.58, twice as that in the commercial separator (0.27). Furthermore, the absorbed electrolyte solvent is difficult to evaporate at elevated temperature. Its electrochemical performance is evaluated by using LiFePO4 cathode. The obtained results suggest that this gel-type composite membrane shows great possibilities for use in large-capacity lithium ion batteries that require high safety.']"
125,LIB,SEI,Lithium bis(oxalate)borate,LiBOB,Not found,"The SEI formed on the LiFSI0.6−LiBOB0.4-based electrolyte is thicker than that on the LiFSI-based electrolyte, with higher R_sei indicating greater resistance to Li+ ion passage, which helps suppress side reactions and reduce interface impedance.",10.1016/S1003-6326(21)65588-7,LiFePO4,Graphite,1 mol/L LiFSI in EC/DEC/EMC (1:1:1 volume ratio) or 0.6 mol/L LiFSI and 0.4 mol/L LiBOB in EC/DEC/EMC (1:1:1 volume ratio),Mechanism of aluminum corrosion in LiFSI-based electrolyte at elevated temperatures,"['Lithium bis(fluorosulfonyl)imide (LiFSI) is a promising replacement for lithium hexafluorosphate due to its excellent properties. A solution to the corrosion of aluminum (Al) current collectors by LiFSI at elevated temperatures is essential. The mechanisms of Al corrosion in LiFSI-based electrolyte at 45 degrees C were studied with density functional theory calculations and spectroscopic investigations. It is found that the irregular, loose and unprotected AlF3 materials caused by the dissolution of co-generated Al(FSI)(3) can exacerbate Al corrosion with the increase of temperature. Lithium bis(oxalate)borate (LiBOB) can effectively inhibit the Al corrosion with a robust and protective interphase; this can be attributed to the interfacial interactions between the Al foil and electrolyte. Boron-containing compounds promote the change from AlF3 to LiF, which further reinforces interfacial stability. This work allows the design of an interface to Al foil using LiFSI salt in lithium-ion batteries.']"
128,LIB,Unspecified,tris(pentafluorophenyl) borane,TPFPB,Not found,Unspecified,10.1016/j.elecom.2008.05.043,LiMn2O4,Lithium foil,0.4 M TPFPB and 0.2 M Li2O in PC/DMC (1:1 volume) or similar compositions,New electrolytes using Li2O or Li2O2 oxides and tris(pentafluorophenyl) borane as boron based anion receptor for lithium batteries,"['A new system of electrolytes has been developed and studied for lithium-ion batteries. This new system is based on the interactions between Li2O or Li2O2 and tris(pentafluorophenyl) borane (TPFPB) in carbonate based organic solvents. This opens up a completely new approach in developing non-aqueous electrolytes. In general, the solubility of Li2O or Li2O2 is very low in organic solvents and the ionic conductivities of these solutions are almost undetectable. By adding certain amount of tris(pentafluorophenyl) borane (TPFPB), one type of boron based anion receptors (BBARs), the solubility of Li2O or Li2O2 in carbonate based solvents was significantly enhanced. In addition, the Li+ transference numbers of these new electrolytes measured were as high as 0.7, which are more than 100% higher than the values for the conventional electrolytes for lithium-ion batteries. The room-temperature conductivities are around 1 X 10(-3) S/cm. These new electrolytes are compatible with LiMn2O4 cathode for lithium-ion batteries. (C) 2008 Elsevier B.V. All rights reserved.']"
132,LIB,SEI,Tris(pentafluorophenyl)borane,TPFPB,Not found,"The SEI layer is formed through the decomposition of ethylene carbonate in the presence of TPFPB, and it remains stable, suggesting a cross-linked structure that is not dissolved by TPFPB, even after heat-treatment under conditions that dissolve LiF salt.",10.1149/1.1536475,LiNi0.80Co0.15Al0.05O2,MCMB (Mesocarbon Microbeads),1 M LiPF6 in EC/DMC (1:1 volume ratio) with 0.1 M TPFPB additive,The compatibility of a boron-based anion receptor with the carbon anode in lithium-ion batteries,"['The electrochemical stability of the boron anion receptor, tris(pentafluorophenyl) borane (TPFPB), on a carbonaceous mesocarbon microbeads (MCMB) electrode and its compatibility with the passivated solid electrolyte interphase (SEI) layer on the carbon anode were investigated. Comparison of the irreversible capacity loss of the MCMB electrode during initial galvanostatic cycling using electrolyte with and without the TPFPB additive indicates excellent electrochemical stability of TPFPB on the carbonaceous electrode. Cyclic voltammetry studies show that the SEI layer on the surface of the carbon electrode can be formed through the decomposition of ethylene carbonate in the presence of TPFPB. Prolonged cycling test verifies the long-term stability of the SEI layer on carbon in the presence of the TPFPB additive. The SEI layer is not dissolved by TPFPB even after heat-treatment under conditions which dissolve LiF salt. This suggested a cross-linked structure for the SEI layer on carbon electrode. A Li-ion cell using an electrolyte containing TPFPB displays better cycling performance than a cell without TPFPB under the same conditions. (C) 2003 The Electrochemical Society.']"
134,LIB,CEI,"Tris(2,2,2-trifluoroethyl) borate",TTFEB,Not found,"TTFEB reduces the content of lithium-containing inorganic species within the cathode-electrolyte interphase (CEI) layer, minimizing the formation of resistive compounds like LiF and Li2CO3, which helps in forming a more stable and less resistive interface.",10.1021/acs.chemmater.6b04784,Li1.16Ni0.2Co0.1Mn0.54O2,Lithium metal,1.0 M LiPF6 in EC/DMC (1:2 volume ratio) with 0.5 wt.% TTFEB,A New Anion Receptor for Improving the Interface between Lithium- and Manganese-Rich Layered Oxide Cathode and the Electrolyte,"['Surface degradation on cycled lithium-ion battery cathode particles is governed not only by intrinsic thermodynamic properties of the material but also, oftentimes more predominantly, by the side reactions with the electrolytic solution. A superior electrolyte inhibits these undesired side reactions on the cathode and at the electrolyte interface, which consequently minimizes the deterioration of the cathode surface. The present study investigates a new boron-based anion receptor, tris(2,2,2-trifluoroethyl)-borate (TTFEB), as an electrolyte additive in cells containing a lithium- and manganese-rich layered oxide cathode, Li1.16Ni0.2Co0.1Mn0.54O2. Our electrochemical studies demonstrate that the cycling performance and Coulombic efficiency are significantly improved because of the additive, in particular, under elevated temperature conditions. Spectroscopic analyses revealed that the addition of 0.5 wt % TTFEB is capable of reducing the content of lithium-containing inorganic species within the cathode-electrolyte interphase layer and minimizing the reduction of tetravalent Mn4+ at the cathode surface. Our work introduces a novel additive highly effective in improving lithium-ion battery performance, highlights the importance in preserving the surface properties of cathode materials, and provides new insights on the working mechanism of electrolyte additives.']"
135,LIB,Unspecified,Poly(ethylene glycol) borate ester,PEGB,Not found,Unspecified,10.1016/j.electacta.2015.02.214,Not found,Not found,"PAN-based with LiCF3SO3 or LiBF4, and plasticizers like PEGB or EC/PC",Enhanced ionic conductivity in borate ester plasticized Polyacrylonitrile electrolytes for lithium battery application,"['The effect of low molecular weight borate ester on the ionic conductivity of polyacrylonitrile (PAN) was systematically investigated by means of measuring conductivity using the impedance technique. Gel polymer electrolyte (SPE) films consisting of PAN as host polymer, LiCF3SO3 and LiBF4 as ionic salts, and poly (ethylene glycol) borate ester (PEGB), ethylene carbonate/propylene carbonate (EC/PC) as plasticizers were prepared by physical blending method. All measurements were performed on electrolyte samples with various contents. Fourier transform infrared spectroscopy (FT-IR) gave evidence of the interactions among PAN, plasticizers and lithium salt. The surface morphology of the electrolytes was investigated by scanning electron microscopy (SEM). Thermal properties of these materials were searched with thermogravimetric analysis (TGA) and differential scanning calorimetry (DSC). Conductivity studies of these blend polymer electrolytes were carried out in the temperature range 20-100 degrees C. The maximum ionic conductivity values of 1.8 x 10 (3) and 1.4 x 10 (4) S cm (1) were measured for the film containing 4PAN-10EC/PC-4LiBF(4) and 4PAN-10PEGB-4LiCF(3)SO(3), respectively, at room temperature. These films have a good conductivity, better dimensional stability and wide electrochemical stability window. These unique properties make the composite gel membranes suitable for application as electrolyte in rechargeable Li-ion batteries. (C) 2015 Elsevier Ltd. All rights reserved.']"
142,LIB,Unspecified,Lithium metaborate,LiBO2,Not found,Unspecified,10.1016/j.electacta.2017.05.075,LiNi0.5Mn0.3Co0.2O2 (NMC),Lithium metal,1M LiPF6 in EC/EMC/DMC (1:1:1 v:v:v),Improving the electrochemistry performance of layer LiNi0.5Mn0.3Co0.2O2 material at 4.5 V cutoff potential using lithium metaborate,"['LiNi0.5Mn0.3Co0.2O2 (NMC) cathode material is surface treated by Li active boron oxide (LBO) via a two-step process. The surface morphology, crystal structure, surface composition, and electrochemical properties were characterized based on SEM, XRD, XPS, charge-discharge tests, cyclic voltammetry (CV), and electrochemical impedance spectroscopy (EIS) measurements. XPS results showed that the coating layer was composed of LiBO2. The 2 wt% LBO-coated NMC exhibited the best electrochemical performance at high voltage (4.5 V). It was achieved a high capacity retention of 91.23% after 50 cycle which was 53.19% for the uncoated one. The rate capability of the coated electrode was improved obviously, exhibiting 114.71 mAh.g(-1) discharge capacity at 10 C. The interfacial resistance and charge transfer resistance was also decreased owning to the fact that the coating layer played a firewall between the electrolyte and the NMC electrode. (C) 2017 Elsevier Ltd. All rights reserved.']"
143,LIB,CEI,Lithium bis(oxalate) borate,LiBOB,Not found,"The boron-containing additive LiBOB forms a boron- and oxygen-enriched protective CEI that is robust, inhibits unwanted parasitic electrode-electrolyte reactions, enables superior cell reaction kinetics, and suppresses active mass dissolution and electrolyte decomposition.",10.1002/aenm.201801957,LiNi0.94Co0.06O2,Graphite,1M LiPF6 in EC:DEC (1:1 by volume) with 1.5 wt% LiBOB additive,Extending the Service Life of High-Ni Layered Oxides by Tuning the Electrode-Electrolyte Interphase,"['As a high-energy-density cathode for Li-ion batteries, high-Ni layered oxides, especially with ultrahigh Ni-content, suffer from short lifespans, due in part to their unstable electrode-electrolyte interphase (EEI). Herein, the cycle life of LiNi0.94Co0.06O2 is greatly extended by manipulating the EEI with a lithium bis(oxalate) (LiBOB) additive even when operated at a moderately high voltage (4.4 V vs Li/Li+). Impressively, the capacity retention can be increased from 61 to 80% after 500 cycles in a full cell paired with a graphite anode. Additionally, the presence of LiBOB enables a robust boron- and oxygen-enriched EEI that effectively inhibits continual electrolyte decomposition and offers a stable cathode surface. Moreover, the layered architecture of the cathode-electrolyte interphase (CEI) and the anode-electrolyte interphase (AEI) at the nanometer scale is revealed by time-of-flight secondary ion mass spectrometry. It is demonstrated that the cathode surface chemistry can significantly influence the AEI both chemically and physically, and AEI is modified from a thick three-layer to a thin two-layer architecture by tuning the cathode surface chemistry with LiBOB. This work presents a correlation between the EEI characteristics and battery performance and highlights the significance of manipulating surface chemistry in developing stable high-energy-density Li-ion batteries.']"
151,LIB,Unspecified,"Tris(pentafluorophenyl) borane, Tris(pentafluorophenyl) borate","TFPB, TFPBO",Not found,Unspecified,10.1149/1.1392529,"LiMn2O4, LiNiO2",Lithium metal,"Various compositions including 1 M LiF, CF3CO2Li, or C2F5CO2Li with 1 M TFPB or TFPBO in solvents like DME or PC-EC-DMC (1:1:3, v/v)",Comparative studies of the electrochemical and thermal stability of two types of composite lithium battery electrolytes using boron-based anion receptors,"['Comparative studies were done on two new types of boron based anion receptors, tris(pentafluorophenyl) borane (TFPB) and tris(pentafluorophenyl) berate (TFPBO), regarding conductivity enhancement, and electrochemical and thermal stability when used as additives in composite electrolytes for lithium batteries. Both additives enhance the ionic conductivity of electrolytes of simple lithium salts, LiF CF3CO2Li, and C2F5CO2Li in several organic solvents. The electrochemical windows of TPFB based electrolytes in ethylene carbonate-propylene carbonate-dimethyl carbonate (1:1:3, v/v) are up to 5, 4.76, and 4.96 V for LiF CF3CO2Li, and C2F5CO2Li, respectively. TPFBO has Tower electrochemical stability compared to TPFB. The thermal stability of pure TFPB is better than TFPBO. Complexation with the salt improves the thermal stability of these additives. TPFB based electrolytes showed high cycling efficiencies and good cycleability when they were tested in Li/LiMn2O4 cells. TFPBO based electrolytes were tested in Li/LiNiO2 cells; the cells delivered high discharge capacity and good cycling efficiencies. The capacity retention of the cells using TFPB based electrolytes during multiple cycling is better than those using TFPBO based electrolytes. (C) 1999 The Electrochemical Society. S0013-4651(99)04-036-7. All rights reserved.']"
154,LIB,SEI,Lithium difluoro(oxalate) borate,LiODFB,20°C,"The formation of an effective SEI film by LiODFB-based electrolyte, which helps in suppressing side reactions and reducing interface impedance, as indicated by lower RSEI+Rct values in impedance analysis.",10.1007/s10008-016-3313-5,LiNi0.5Mn1.5O4,Graphite,1M LiTFSI x-LiODFB (1-x) in EC-EMC (4:6 wt.%),Dual-salts of LiTFSI and LiODFB for high voltage cathode LiNi0.5Mn1.5O4,"['The LiNi0.5Mn1.5O4 has been investigated as promising because of its high operating voltage (4.7 V vs. Li+/Li) and decent specific capacity. Despite these advantages, however, the market penetration of this material was significantly hindered by the lack of proper electrolytes that can work stably up to 5 V. To achieve better cycling stability, mixed salts of lithium bis (trifluoromethanesulfonylimide) (LiTFSI) and lithium difluoro (oxalate) borate (LiODFB) are used in LiNi0.5Mn1.5O4-based batteries to replace the lithium hexafluoride phosphate (LiPF6) salt in non-aqueous electrolytes. The SEM and CV data indicate that the corrosion to Al current collector caused by LiTFSI-based electrolytes under high voltage (similar to 5 V vs. Li+/Li) can be largely reduced by adding LiODFB into LiTFSI-based electrolytes. And a boron-based passivation layer from the oxidative decomposition of LiODFB to suppress the corrosion based on the XPS tests results. In addition, the LiTFSI0.5-LiODFB0.5-based electrolyte has better cycling stability and rate capability for LiNi0.5Mn1.5O4-based cells than LiPF6-based electrolyte.']"
157,LIB,SEI,Lithium bis(oxalato)borate,LiBOB,Not found,"The addition of LiBOB promotes the formation of Li2CO3, which is the key component for the formation of a good SEI layer with better protective and passivating functions. It suppresses PC co-intercalation and reduces decomposition of TPFPB, enhancing SEI stability.",10.1016/j.jpowsour.2008.10.063,Not found,Graphitized mesophase carbon microbeads (MCMB),"0.6 M TPFPB and 0.6 M LiF in PC/DMC (1:1 in volume), 0.4 M TPFPB and 0.2 M Li2O in PC/DMC (1:1 in volume), 0.4 M TPFPB and 0.2 M Li2O2 in PC/DMC (1:1 in volume) with or without 0.05 M LiBOB",Studies on the enhancement of solid electrolyte interphase formation on graphitized anodes in LiX-carbonate based electrolytes using Lewis acid additives for lithium-ion batteries,"['The new electrolyte systems utilizing one type of Lewis acids, the boron based anion receptors (BBARs) with LiF, Li2O, or Li2O2 in carbonate solutions have been developed and reported by us. These systems open up a new approach in developing non-aqueous electrolytes with higher operating voltage and less moisture sensitivity for lithium-ion batteries. However. the formation of a stable solid electrolyte interphase (SEI) layer on the graphitized anodes is a serious problem needs to be solved for these new electrolyte systems, especially when propylene carbonate (PC) is used as a co-solvent. Using lithium bis(oxalato)borate (LiBOB) as an additives, the SEI layer formation on mesophase carbon microbeads (MCMB) anode is significantly enhanced in these new electrolytes containing boron-based anion receptors. Such as tris(pentafluorophenyl) borane, and lithium salt such as LiF, or lithium oxides such as Li2O or Li2O2 in PC and dimethyl carbonate (DMC) solvents. The cells using these electrolytes and MCMB anodes cycled very well and the PC co-intercalation was suppressed. Fourier transform infrared spectroscopy (FTIR) studies show that one of the electrochemical decomposition products of LiBOB, lithium carbonate (Li2CO3), plays a quite important role in the stablizing SEI layer formation. (c) 2008 Elsevier B.V. All rights reserved.']"
160,LIB,Unspecified,Hexagonal boron nitride,hBN,25°C,Unspecified,10.1016/j.cclet.2020.10.045,LiFePO4,Lithium metal,"Asymmetric double-layer composite electrolyte with PEO-hBN and PPC layers, using LiTFSI salt",Asymmetric double-layer composite electrolyte with enhanced ionic conductivity and interface stability for all-solid-state lithium metal batteries,"['All-solid-state Li metal battery has been regarded as a promising battery technology due to its high energy density based on the high capacity of lithium metal anode and high safety based on the all solid state electrolyte without inflammable solvent. However, challenges still exist mainly in the poor contact and unstable interface between electrolyte and electrodes. Herein, we demonstrate an asymmetric design of the composite polymer electrolyte with two different layers to overcome the interface issues at both the cathode and the anode side simultaneously. At the cathode side, the polypropylene carbonate layer has enough viscosity and flexibility to reduce the inter-facial resistance, while at the Li anode side, the polyethylene oxide layer modified with hexagonal boron nitride has high mechanical strength to suppress the Li dendrite growth. Owing to the synergetic effect between different components, the as-prepared double layer composite polymer electrolyte demonstrates a large electrochemical window of 5.17 V, a high ionic conductivity of 6.1 x 10(4) S/cm, and a transference number of 0.56, featuring excellent ion transport kinetics and good chemical stability. All-solid-state Li metal battery assembled with LiFePO4 cathode and Li anode delivers a high capacity of 150.9 mAh/g at 25 degrees C and 0.1 C-rate, showing great potential for practical applications. (C) 2020 Chinese Chemical Society and Institute of Materia Medica, Chinese Academy of Medical Sciences. Published by Elsevier B.V. All rights reserved.']"
163,LIB,SEI,Trimethylboroxine,TMB,Not found,"TMB decomposition products, such as BF3 and PF5, may catalyze the polymerization of carbonates to form a protective layer on the electrode, potentially suppressing side reactions and reducing interface impedance, as suggested by improved cycling stability with optimal TMB amounts.",10.1149/2.0011501jes,LiCoPO4 (LCP),Graphite,1 M LiPF6 in EC:DMC (1:1 wt:wt) with trimethylboroxine (TMB) additive,Anodic Decomposition of Trimethylboroxine as Additive for High Voltage Li-Ion Batteries,"['Trimethylboroxine (TMB) is used as an additive in the electrolyte for improving the performance of LiCoPO4 (LCP) in Li-ion batteries. In this work, the role and behavior of TMB are investigated by cyclic voltammetry (CV), impedance spectroscopy (EIS) and on line electrochemical mass spectroscopy (OEMS). It was found that TMB oxidizes from 4.6 V and a low amount in the electrolyte is necessary to obtain good performance. On one hand, its oxidation produces boron trifluoride (BF3), phosphorylfluoride (POF3) and carbanion (CH3-) linked to a huge increase in impedance. Based on these results, a complete oxidation mechanism is proposed. The catalytic effect of the TMB decomposition products on carbonate polymerization could enhance the performance of LCP. On the other hand, an unexplained water and/or HF release was detected. Further experiments need to be done. (C) The Author(s) 2014. Published by ECS. This is an open access article distributed under the terms of the Creative Commons Attribution 4.0 License (CC BY, http://creativecommons.org/licenses/by/4.0/), which permits unrestricted reuse of the work in any medium, provided the original work is properly cited. All rights reserved.']"
164,LIB,Unspecified,B-PEGMA (boron-containing moiety),B-PEGMA,Not found,Unspecified,10.1016/j.memsci.2018.01.063,LiFePO4 (LFP),Graphite,POSS-g-PEGMEM/B-PEGMA with LiTFSI salt,A star-shaped solid composite electrolyte containing multifunctional moieties with enhanced electrochemical properties for all solid-state lithium batteries,"['Limited ionic conduction and poor solid/solid interfacial stability are crucial characteristics that impede the practical application of solid polymeric electrolytes. Herein, a star-shaped solid composite electrolyte (SCE) containing multifunctional components, including anion-trapping boron moieties (B-PEGMA), poly(ethylene glycol) methyl ether methacrylate (PEGMEM) and octavinyl octasilsesquioxane (OV-POSS) nanofiller, was developed via a simple free radical polymerization method. The unique star-shaped structure induced by OV-POSS is beneficial to increasing the movement of polymer chains and forming continuously interconnected ion-conducting channels and the boron moieties can promote lithium salt dissociation and increase the effective transmission of Li+ in the electrolyte. This SCE exhibits an extremely high ionic conductivity of 3.44 x 10(-4) S cm(-1) and a high Li ion transference number of 0.58 at 25 degrees C, as well as excellent interfacial compatibility with the Li electrode leading to excellent rate performance and good cyclic stability in all-solid-state Li batteries.']"
165,LIB,Unspecified,Lithium Borate,LiBO2,Not found,Unspecified,10.1016/j.ssi.2016.06.010,Not found,Not found,Li4SiO4-Li3PO4-LiBO2 ternary system with mole ratio 60:40:20,A lithium ion conductor in Li4SiO4-Li3PO4-LiBO2 ternary system,"['We developed a lithium ion conductor in Li4SiO4-Li3PO4-LiBO2 ternary ceramic system comprising of the mole ratio as Li4SiO4:Li3PO4:LiBO2 = 60:40:20 (termed as 40LP + 20B), exhibiting the ion conductivity of 5.7 x 10(-6) s/cm at room temperature. From the X-ray diffraction patterns, the ternary solid solution has the orthorhombic phase structure with the increased unit cell volume due to the substitution of boron in lattice. The SEM images show that the high densification of the 40LP + 20B samples sintered at 900 degrees C for 6 h, and EDS mappings illustrate that the incorporating boron is distributed homogenously in the grains and no precipitated impurity was observed on grain surface or around grain boundaries. The data of electrochemical impedance spectroscopy (EIS) reveal the low resistance from grain boundary, giving rise to the high bulk ion conductivity. The lithium ion conductor in Li4SiO4-Li3PO4-LiBO2 system is of great potential as practical solid electrolyte for all-solid-state battery. (C) 2016 Elsevier B.V. All rights reserved.']"
169,LIB,Unspecified,Lithium borate,Li3BO3,Not found,Unspecified,10.1016/j.ssi.2015.10.009,Not found,Not found,xLi3BO3-(1-x)Li3.5Si0.5P0.5O4 (0≤x≤0.2),Enhanced ionic conductivity of Li3.5Si0.5P0.5O4 with addition of lithium borate,"['A series of lithium borate added electrolyte compounds, xLi(3)BO(3)-(1-x)Li3.5Si0.5P0.5O4 (0 <= x <= 0.2), are synthesized and characterized. This so-called LISICON electrolyte system is analyzed by using X-ray diffraction (XRD), scanning electron microscopy (SEM), solid state nuclear magnetic resonance (ss-NMR), electrochemical impedance spectra (EIS), and direct current (DC) polarization methods. From B-11 MAS NMR spectra, it is demonstrated that a small fraction of boron exists in the form of BO4, while its majority settles at grain boundaries in the form of BO3, indicating that lithium borate glasses play a role as sintering assistant. This prominently increases the relative density of samples, and is beneficial to the ionic conductivity. Further results show that the electrical conduction of lithium borate added LISICONs is dominated by Li+ ions, with a transference number of t(Li)(+) >= 0.996 and a corresponding ionic conductivity of about 6.5 x 10(-6) S cm(-1) at room temperature, almost two times that of pristine Li3.5Si0.5P0.5O4. (C) 2015 Elsevier B.V. All rights reserved.']"
