title,battery_format,cathode,anode,electrolyte,additives,DOI
Characterization of lithium phosphorus oxide thin film libraries by laser-induced breakdown spectroscopy imaging: A step towards high-throughput quantitative analyses,[],[Li2.3PO3.65, [], solid electrolyte, []],10.1016/j.sab.2024.106906
Aqueous hybrid iron-ion battery capacitors with ultra-long cycle life,[],[nano flower-like activated carbon (FAC), high-purity iron sheet, 1 M FeSO4 + NH4Cl aqueous solution, NH4Cl],10.1016/j.cej.2024.150586
Lignin-derived carbon with pyridine N-B doping and a nanosandwich structure for high and stable lithium storage,[],[BN-C, BN-C, unspecified, unspecified],10.1002/cey2.511
Boron nitride nanofibers enhanced composite PEO-based solid-state polymer electrolytes for lithium metal batteries,[],[LFP, Li, PEO/LiTFSI, BNNFs],10.1016/j.cclet.2023.108797
Rapid ion conduction enabled by synergism of oriented liquid crystals and Electron-Deficient boron atoms in multiblock copolymer electrolyte for advanced Solid-State Lithium-Ion battery,[],[LiFePO4 or LiMnxFe1-xPO4, Li, block copolymer electrolytes (BCPEs), boron-containing liquid crystals],10.1016/j.cej.2024.150298
Lithium difluoro(oxalate)borate as an efficient and multifunctional additive for extended cycling life of LiFePO4 cathodes,[],[LiFePO4, [], [], LiDFOB],10.1007/s11581-024-05472-x
Boron-doped three-dimensional porous carbon framework/carbon shell encapsulated silicon composites for high-performance lithium-ion battery anodes,[],[LiFePO4, B-3DCF/Si@C, [], []],10.1016/j.jcis.2024.03.053
Protective Nanosheet Coatings for Thiophosphate-Based All-Solid-State Batteries,[],[Ni-rich LiNixCoyMnzO2 (NCM), [], thiophosphate-based solid electrolyte, [hexagonal boron nitride,10.1002/admi.202301067
A High-Rate and Long-Life Sodium Metal Battery Based on a NaB3H8 ⋅ xNH3@NaB3H8 Composite Solid-State Electrolyte,[],[TiS2, sodium metal, NaB3H8·xNH3@NaB3H8, []],10.1002/anie.202401480
Origin of the Oxygen Reduction Activity on Boron-Doped Fe-N-C Catalysts for Zinc-Air Battery Applications,[zinc-air liquid electrolyte battery],[Fe-N&B/C catalyst (cathode), zinc (anode), liquid electrolyte, []],10.1021/acsaem.3c03122
Interface engineering strategy via electron-defect trimethyl borate additive toward 4.7 V ultrahigh-nickel LiNi0.9Co0.05Mn0.05O2 battery,[coin battery],[LiNi0.9Co0.05Mn0.05O2 (NCM90), lithium metal, carbonate electrolyte, trimethyl borate (TMB)],10.1016/j.jechem.2024.02.004
Calcium-Borosilicate Glass-Ceramics as a Sealant for Solid Oxide Fuel Cells,[],[,, solid oxide fuel cell electrolyte,],10.1134/S1023193524030121
Nb-doping of cation-disordered rocksalt oxides with B2O3 surface modification for superior performance cathode,[],[Li1.2Ni0.3Ti0.3Nb0.2O2, [], [], B2O3],10.1016/j.jelechem.2024.118137
Boosting Selective Na+ Migration Kinetics in Structuring Composite Polymer Electrolyte Realizes Ultrastable All-Solid-State Sodium Batteries,[],[sodium metal battery, sodium metal, composite polymer electrolyte, B-COF network],10.1002/adfm.202313496
Boron-containing fullerene-based salts with cyclic carbonate solvents as electrolytes for Li-ion batteries and beyond,[],[cathode materials for batteries, anode materials not specified, cyclic carbonate solvents with C59B- and C58B22- based salts, no additives mentioned],10.1039/d3cp04706g
Potassium Decahydrido-closo-Decaborane Urea Complex as a Potential Solid-State Electrolyte for Potassium Metal Batteries,[],[K metal anode, , K2B10H10·CO(NH2)2 solid electrolyte, ],10.1021/acsami.3c17570
Investigating the effectiveness of borophene on anchoring and influence on kinetics of sodium superoxide in sodium-oxygen batteries,[],[sodium-oxygen, sodium, oxygen, [],10.1016/j.est.2024.110977
The Synthesis of Three-Dimensional Hexagonal Boron Nitride as the Reinforcing Phase of Polymer-Based Electrolyte for All-Solid-State Li Metal Batteries,[coin cell],[LFP, Li metal, PEO-based electrolyte, 3D h-BN],10.1002/anie.202317256
Pyridinic N and semi-ionic F Co-functionalized biochar nanofibers as efficient metal-free electrocatalysts for oxygen reduction reaction,[],[metal-air batteries and alkaline fuel cells, [], [], []],10.1007/s10853-024-09434-6
A trinity strategy enabled by iodine-loaded nitrogen-boron-doped carbon protective layer for dendrite-free zinc-ion batteries,[pouch battery],[NVO, INBC@Zn, aqueous zinc ion electrolyte, iodine],10.1016/j.jcis.2024.02.053
Interactions between organic binder and boron sintering aid in the slurry of LLZTO electrolyte,[],[, , solid-state Li-ion battery, B2O3,10.1016/j.est.2024.110799
Hydroborate Solid-State Lithium Battery with High-Voltage NMC811 Cathode,[],[LiNi0.8Mn0.1Co0.1O2 (NMC811), Li metal/InLi/graphite, Li-3(CB11H12)(2)(CB9H10) hydroborate, []],10.1021/acsenergylett.3c02117
Borate-containing triblock copolymer electrolytes for improved lithium-ion transference number and interface stability,[],[LiFePO4, Li, triblock copolymer electrolytes (PBOEE) containing borate, []],10.1016/j.jcis.2024.01.097
Integrated anode with 3D electron/ion conductive network for stable lithium metal batteries,[],[LiNi0.83Mn0.06Co0.11O2, lithium-boron (LiB) fiber integrated lithium anode, poly(vinylidene fluoride-co-hexafluoropropylene)-based polymer electrolyte, []],10.1016/j.ensm.2024.103201
Tungsten and Boron Codoping toward High Ionic Conductivity and Stable Sodium Solid Electrolyte for All-Solid-State Sodium Batteries,[],[TiS2, sodium metal, Na3Sb0.95W0.05S3.95B0.05 solid electrolyte, W and B codoping],10.1021/acsami.3c17535
Interfacial Modification of Lithium Metal Anode by Boron Nitride Nanosheets,[],[metallic lithium anode, not specified, not specified, boron nitride nanosheets],10.1021/acsnano.3c11135
Melt-casted Li1.5Al0.3Mg0.1Ge1.6(PO4)3 glass ceramic electrolytes: A comparative study on the effect of different oxide doping,[],[high-V cathodes, Li metal anode, NASICON-type LAGP glass-ceramic solid-state electrolyte, MgO,10.1016/j.heliyon.2024.e24493
Self-Regulating Interfacial Space Charge through Polyanion Repulsion Effect towards Dendrite-Free Polymer Lithium-Metal Batteries,[],[LiFePO4 or Li1.2Ni0.2Mn0.6O2, lithium metal, polymer electrolyte modified by LiPVAOB, LiPVAOB],10.1002/aenm.202303834
Asymmetric SO3CF3--Grafted Boron-Center Anion Enables Boron-Containing Interphase for High-Performance Rechargeable Mg Batteries,[],[Mo6S8, Mg, Mg(OTf)2/ether with grafted [B(TFE)3OTf]⁻ anion, []],10.1002/adfm.202314146
Deciphering the Origin of Interface-Induced High Li and Na Ion Conductivity in Nanocomposite Solid Electrolytes Using X-Ray Raman Spectroscopy,[],[, , complex hydride-based electrolytes (LiBH4, NaBH4,10.1002/aenm.202303381
Dirac t-Boron Nitride Monolayer as an Appealing Binder-Free Anode for Alkali Metal Ion Batteries,[],[, t-BN monolayer, , ],10.1021/acs.langmuir.3c03307
Constructing a LiPON Layer on a 3D Lithium Metal Anode as an Artificial Solid Electrolyte Interphase with Long-Term Stability,[],[lithium metal battery, lithium-boron alloy, LiPON solid electrolyte, []],10.3390/batteries10010030
Hexagonal Boron Nitride Modulates Crystallinity and Charge Mobility in Poly(ethylene oxide)-NaNO3 Electrolytes,[],[sodium-ion, , composite solid polymer electrolyte (PEO-based with NaNO₃ salt), 2D hexagonal boron nitride flakes],10.1021/acs.jpcc.3c06455
In Situ Formation of a LiBO2 Coating Layer and Spinel Phase for Ni-Rich Cathode Materials from a Boric Acid-Etched Precursor,[],[Ni-rich cathode material, [], [], []],10.1021/acsami.3c14342
A Hauser-base modulated boron-based electrolyte empowering superior interfacial chemistry in rechargeable magnesium batteries,[],[Mo6S8, Mg, TMPLB electrolyte, []],10.1016/j.ensm.2023.103152
Understanding the Role of Lithium Borate as the Surface Coating on High Voltage Single Crystal LiNi0.5Mn1.5O4,[],[lithium nickel manganese oxide (LNMO), graphite (Gr), [], lithium metaborate (LBO)],10.1002/adfm.202312091
Electrical and ionic conductivity of Li2O-B2O3-Al2O3 glass electrolyte for solid-state batteries,[],[ [], [], [Li2O-B2O3-Al2O3 solid-state electrolyte], [] ],10.1016/j.est.2023.110018
Enhanced comprehensive performance of the LLZO series solid electrolyte via multifunctional additive,[],[, , Li6.25Ga0.25La3Zr2O12, boron nitride],10.1016/j.jeurceramsoc.2023.11.045
Ternary Lithium Nickel Boride with 1D Rapid-Ion-Diffusion Channels as an Anode for Use in Lithium-Ion Batteries,[],[Li1.2Ni2.5B2 anode, , , ],10.1002/smll.202309918
Acceleration of interfacial kinetics induced by regulation of Li plus desolvation process in lithium metal-based batteries,[],[S or LiFePO4, Li metal, electrolyte with THFPB additive, THFPB],10.1016/j.jpowsour.2023.233884
Rational Design of Multifunctional Surface Modification for Ni-Rich Layered Cathodes of Lithium-Ion Batteries,[],[LNCM (Ni-rich layered oxide materials), [], [], [H3BO3,10.1021/acsaem.3c02248
In-situ Polymerized Single Lithium-ion Conducting Binder as an Integrated Strategy for High Voltage LNMO Electrodes,[],[LiNi0.5Mn1.5O4, [], [], []],10.1002/batt.202300383
Unveiling the catalytic potential of two-dimensional boron nitride in lithium-sulfur batteries,[],[sulfur-based cathode, lithium-based anode, DME/DOL electrolytes, []],10.1016/j.cej.2023.147518
Sustainable Dual-Ion Batteries beyond Li,[],[graphite or similar materials for anion intercalation, various cation-based anodes (Na, K, Mg,10.1002/adma.202309223
Anion-Immobilized Gel Polymer Electrolyte with a High Ion Transference Number for High-Performance Lithium/Sodium Metal Batteries,[],[lithium/sodium metal, not specified, gel polymer electrolyte (B-GPE), boron moiety],10.1021/acsami.3c13883
Room-temperature solid-state metallic lithium batteries based on high-content boron nitride nanosheet-modified polymer electrolytes,[],[LiFePO4, metallic lithium, PEO-LiTFSI with BN nanosheets, BN nanosheets],10.1016/j.apsusc.2023.158962
Ion Migration Mechanism Study of Hydroborate/Carborate Electrolytes for All-Solid-State Batteries,[],[high-voltage cathode, unspecified anode, hydroborate/carborate solid electrolyte, []],10.1007/s41918-023-00191-9
Solvation structure reorganization and interface regulation of poly (glycidyl POSS)-based electrolyte for quasi-solid-state lithium-ion batteries,[],[NCM83, Li or SiOx, in-situ crosslinked polymer electrolyte with glycidyl POSS, POSS blocks],10.1016/j.nanoen.2023.108892
Band Structure Engineering and Orbital Orientation Control Constructing Dual Active Sites for Efficient Sulfur Redox Reaction,[pouch battery],[sulfur-based cathode, lithium metal anode, electrolyte system not specified, additives not specified],10.1002/adma.202309024
Enable reversible conversion reaction of copper fluoride batteries by hydroxyl solution and anion acceptor,[],[Cu2(OH)3F, lithium metal, boron-based anion acceptor electrolyte, boron-based anion acceptor],10.1016/j.ensm.2023.103073
Engineering A Boron-Rich Interphase with Nonflammable Electrolyte toward Stable Li||NCM811 Cells Under Elevated Temperature,[],[LiNi0.8Co0.1Mn0.1O2 (NCM811), lithium metal (Li), nonflammable solvents with lower HOMO levels and salts with higher HOMO levels, boron-rich CEI],10.1002/adma.202307220
Boosting the Cycle Performance of Iron Trifluoride Based Solid State Batteries at Elevated Temperatures by Engineering the Cathode Solid Electrolyte Interface,[],[FeF3 composite cathode, not specified, polymer electrolyte, boron-doped salt],10.1002/smll.202307116
Diamond-Based Supercapacitors with Ultrahigh Cyclic Stability Through Dual-Phase MnO2-Graphitic Transformation Induced by High-Dose Mn-Ion Implantation,[],[MnO2, boron doped diamond, aqueous electrolyte (0.05 M Fe(CN)6³⁻/⁴⁻ + 1 M Na2SO4), gel electrolyte,10.1002/adfm.202308617
Highly conductive and nonflammable boron-based gel type single ion conducting electrolyte membranes toward high-safety and dendrite-free lithium metal batteries,[],[LiFePO4, lithium metal, single-ion conducting polymer electrolyte (es-DDBSB-Li), []],10.1016/j.est.2023.109594
"Rapid self-healing, highly conductive and near-single-ion conducting gel polymer electrolytes based on dynamic boronic ester bonds for high-safety lithium metal batteries",[],[LiFePO4, Li, PBAD-PEG gel polymer electrolyte, boronic ester bonds],10.1016/j.est.2023.109712
Room-temperature reversible F-ion batteries based on sulfone electrolytes with a mild anion acceptor additive,[coin battery],[conversion-type electrodes, conversion-type electrodes, sulfone-based liquid electrolyte with 6-thioguanine additive, 6-thioguanine],10.1039/d3mh01039b
"Robust Interfacial Chemistry Induced by B-Doping Enables Rapid, Stable Sodium Storage",[],[Bi-based anode, sodium metal or unspecified cathode, unspecified electrolyte, B-doping additive],10.1002/aenm.202302825
Effect of the boron element in a Li-P-S system,[],[solid electrolyte, lithium metal, Li-B-P-S system, []],10.1039/d3dt02883f
Promoting reversibility of layered potassium cathode through interstitial doping,[],[P3-K0.5Mn0.8Co0.2B0.1O2, [], [], []],10.1016/j.cej.2023.147021
Self-healing polymer electrolytes with nitrogen-boron coordinated boroxine for all-solid-state lithium metal batteries,[coin battery],[LiFePO4, lithium metal, boroxine-based self-healing solid polymer electrolytes, lithium salt],10.1016/j.est.2023.109485
Tailoring Electrochemical Redox Properties of Trioxotriangulene Organic Cathodes by a Heteroatom-Doped Strategy,[],[boron- and pyridine-type nitrogen-doped trioxotriangulene derivatives, [], [], []],10.1021/acsaem.3c01925
Hexagonal BN-Mediated Highly Improved Li Transfer Kinetics for High-Performance All-Solid-State Lithium Metal Batteries,[],[Ni0.8Co0.15Al0.05O2, lithium metal, solid polymer electrolyte, hexagonal boron nitride,10.1021/acsaem.3c01784
Covalent Bond Hybrid Nanostructure of N-doped rGO and Ultrathin SnS2 with High Porosity for Lithium-Ion Batteries,[],[, SnS2@NRGO, , ],10.1021/acsanm.3c03935
Self-healing and robust polymer-based protective interlayer containing boronic esters for stabilizing lithium metal anode,[],[LFP, Li metal, [], []],10.1016/j.cej.2023.146580
Robust bond linkage between boron-based coating layer and lithium polyacrylic acid binder enables ultra-stable micro-sized germanium anodes,[],[lithium ions batteries, germanium anode, [], []],10.1016/j.jcis.2023.10.031
BF3-based Electrolyte Additives Promote Electrochemical Reactions to Boost the Energy Density of Li/CFx Primary Batteries,[],[fluorinated carbon, lithium, [], pyrazine di-boron trifluoride],10.1016/j.electacta.2023.143311
Heteroatom tuning in agarose derived carbon aerogel for enhanced potassium ion multiple energy storage,[],[potassium ion storage material, carbon aerogel (CA), 1 M KPF6 organic electrolyte, []],10.1002/cey2.427
Stabilizing Lithium Metal Batteries by Synergistic Effect of High Ionic Transfer Separator and Lithium-Boron Composite Material Anode,[],[LiFePO4, lithium-boron (LiB), [], [graphene oxide-poly(ethylene oxide) (PEO) functionalized polypropylene separator (8AP)]],10.1021/acsnano.3c06336
Multifunctional composite interfacial layer based on aluminum and boron for single crystal LiNi0.8Co0.1Mn0.1O2 with enhanced electrochemical performance at high voltage and temperature,[],[LiNi0.8Co0.1Mn0.1O2, [], [], []],10.1016/j.est.2023.109086
Transition Metal-Doped Boron Phosphide Monolayer in Lithium-Sulfur Batteries with Anchoring Ability and Catalytic Performance: A First-Principles Study,[],[sulfur cathode, lithium anode, [], []],10.1021/acs.jpcc.3c03997
Development of tris(amino)phosphonium electrolytes for high performing sodium batteries,[],[NaFePO4, Na metal, [P1(DEA)3][FSI] with 50 mol% NaFSI, []],10.1039/d3ta03741j
Composite Polymer Electrolytes with Multi-Dimensional Non-Lithium Inorganic Hybird Components for Lithium Batteries,[],[[], [], composite polymer electrolyte with inert Li+-free fillers, []],10.7536/PC221007
Investigation of properties and performance of three novel highly concentrated ether-functionalised ionic liquid electrolytes for lithium metal batteries,[],[LiFePO4, lithium metal, (LiFSI)0.5([C1O1mpip][FSI])0.5 or (LiFSI)0.5([N-111,N-1O1][FSI])0.5,10.1016/j.ensm.2023.102984
Inorganic-Rich Interphase Induced by Boric Oxide Solid Acid toward Long Cyclic Solid-State Lithium-Metal Batteries,[pouch battery],[LiNi0.6Co0.2Mn0.2O2 (NCM622), lithium-metal, cellulose/B2O3-based composite electrolyte, boric oxide (B2O3)],10.1002/adfm.202307677
Dendrite-free lithium deposition enabled by interfacial regulation via dipole-dipole interaction in anode-free lithium metal batteries,[],[LFP, lithium metal, anion receptor modified electrolyte, 3-(trifluoromethyl)phenylboronic acid (FBA)],10.1016/j.ensm.2023.102959
Physiochemical properties of positive deposits in the lead fluoroborate flow batteries with tartaric acid additive,[],[PbOx, lead, lead fluoroborate, tartaric acid],10.1016/j.est.2023.108874
Increasing Volumetric Capacity Diminishes Rate Performance in Li-Ion Battery Electrodes,[],[graphite/boron-nitride composite electrodes, Li metal (implied), electrolyte not specified, additives not specified],10.1149/1945-7111/acf624
Enhancement of Columbic Efficiency and Capacity of Li-Ion Batteries using a Boron Nitride Nanotubes-Dispersed-Electrolyte with High Ionic Conductivity,[],[NCM622, graphite, 1 M LiPF6 in ethylene carbonate/dimethyl carbonate, boron nitride nanotubes (BNNT)],10.1021/acsmaterialslett.3c00538
Multifunctionalizing electrolytes in situ for lithium metal batteries,[],[LiNi0.5Mn1.5O4 or LiNi0.8Mn0.1Co0.1O2 or LiFePO4, lithium metal, carbonate electrolyte, fluoroethylene carbonate (FEC) and tris(trimethylsilyl) phosphite (TMSP)],10.1016/j.nanoen.2023.108825
Self-Decoupled Oxygen Electrocatalysis for Ultrastable Rechargeable Zn-Air Batteries with Mild-Acidic Electrolyte,[],[bifunctional air electrode (ZnCo phosphide/nitrogen-doped carbon catalyst), zinc, neutral and mild-acidic electrolytes, sulfonic acid doped polyaniline nanoarray interlayer],10.1021/acsnano.3c05845
Li4B10H10B12H12 as solid electrolyte for solid-state lithium batteries,[],[TiS2 or LiFePO4, lithium metal, closohydridoborates (specifically Li4B10H10B12H12), []],10.1039/d3ta03914e
"Two-dimensional materials for high density, safe and robust metal anodes batteries",[],[metal anodes (lithium, sodium, zinc), [],10.1186/s40580-023-00384-4
Dual-functional boron-modification on a cobalt-free single-crystal layered cathode for high-voltage lithium-ion batteries,[],[LiNi0.75Mn0.25O2, [], [], []],10.1039/d3ta02784h
Coupling Anion-Capturer with Polymer Chains in Fireproof Gel Polymer Electrolyte Enables Dendrite-Free Sodium Metal Batteries,[],[sodium metal battery, sodium metal, gel polymer electrolyte, functionalized boron nitride nanosheets],10.1002/adfm.202305383
"Prospective Application, Mechanism, and Deficiency of Lithium Bis(oxalate)Borate as the Electrolyte Additive for Lithium-Batteries",[],[high capacity and high voltage cathode materials, [], [], LiBOB],10.1002/aenm.202301422
Research advances of the electrolytes for rechargeable magnesium ion batteries,[],[Mg anode, not specified, Mg2+ electrolytes (MACC, APC,10.1016/j.mtphys.2023.101186
"A metalophilic, anion-trapped composite gel electrolyte enables highly stable electrode/electrolyte interfaces in sodium metal batteries",[],[layered oxide cathode, sodium metal anode, metalophilic anion-trapped composite gel electrolyte (MACGE), sodium alginate grafted on boron-contained polymer modified glass fiber],10.1016/j.ensm.2023.102909
Boron-Modulated Electronic-Configuration Tuning of Cobalt for Enhanced Nitric Oxide Fixation to Ammonia,[],[NO, Zn, aqueous electrolytes, []],10.1021/acs.nanolett.3c01994
Neutron Reflectometry Study of Solid Electrolyte Interphase Formation in Highly Concentrated Electrolytes,[],[lithium metal anode, copper working electrode, ether-based electrolyte, highly concentrated salt],10.1002/sstr.202300119
Regulation of Lithium-Ion Flux by Nanotopology Lithiophilic Boron-Oxygen Dipole in Solid Polymer Electrolytes for Lithium-Metal Batteries,[pouch battery],[NCM523 or LiFePO4, lithium metal, Poly(ACMO-MBA) hybrid electrolyte, COF-1],10.1002/eem2.12659
Iron-Decorated Nitrogen/Boron co-Doped Reduced Graphene Oxide Aerogel for Neutral Rechargeable Zn-Air Batteries,[],[oxygen catalyst (Fe-NBrGO), zinc, neutral electrolyte, []],10.3390/batteries9070356
Boron Nitride-Based Nanomaterials: Synthesis and Application in Rechargeable Batteries,[],[lithium-ion, sodium-ion, lithium-sulfur, [],10.3390/batteries9070344
Hydrothermal Synthesis of Boron-Doped Graphene for High-Performance Zinc-Ion Hybrid Capacitor Using Aloe Vera Gel Electrolyte,[coin battery],[B-doped reduced graphene oxide (B-RGO), pure zinc metal, Aloe vera gel and 1M ZnSO4, no additives mentioned],10.3390/inorganics11070280
Ultrafast self-assembly of supramolecular hydrogels toward novel flame-retardant separator for safe lithium ion battery,[],[positive electrode material: [], negative electrode material: [], electrolyte system: [], additives: []],10.1016/j.jcis.2023.06.058
Hybrid Poly(Ethylene Oxide)-Based composite polymer electrolyte for high-performance all-solid-state lithium batteries,[],[LiFePO4, lithium metal, PVDF/PEO-LiTFSI, g-C3N4 and boron nitride (BN)],10.1016/j.ceramint.2023.05.195
Synergetic Control of Li+ Transport Ability and Solid Electrolyte Interphase by Boron-Rich Hexagonal Skeleton Structured All-Solid-State Polymer Electrolyte,[],[LiFePO4, Li, all-solid-state polymer electrolyte, LiBOB],10.1002/eem2.12648
The role of nanoceramic additives surface charge on the ionic transport of single lithium-ion conducting polymer electrolytes,[],[not specified, not specified, single lithium-ion conducting polymer electrolyte, SiO2/ZrO2/TiO2 nanoparticles],10.1007/s10008-023-05563-1
"N, F-enriched inorganic/organic composite interphases to stabilize lithium metal anodes for long-life anode-free cells",[],[LFP, lithium metal, electrolyte not specified, F-BN and PVA],10.1016/j.jcis.2023.06.021
Boron based podand molecule as an anion receptor additive in Li-ion battery electrolytes: A combined density functional theory and molecular dynamics study,[],[], [], [], [boron-based podand molecule,10.1016/j.molliq.2023.122236
Simultaneous B/W dual coating on ultra-high nickel single crystal cathode material for lithium-ion batteries,[],[LiNi0.92Co0.04Mn0.04O2, [], [], []],10.1016/j.jpowsour.2023.233260
"High rate, high temperature, dendrite free plating/stripping of Li in 3-dimensional honeycomb boron carbon nitride to realize an ultrastable lithium metal anode",[],[LiFePO4, Li metal, [], []],10.1016/j.est.2023.107547
Chain length dependence of structural and transport properties of single lithium-ion conducting polymer electrolytes: A molecular dynamics simulation study,[],[ [], [], single lithium-ion conducting polymer electrolytes based on boron ethylene glycol, [] ],10.1016/j.ssi.2023.116256
A novel calcium fluorinated alkoxyaluminate salt as a next step towards Ca metal anode rechargeable batteries,[],[Ca metal anode, not specified, Ca[Al(hfip)4]2 or Ca[B(hfip)4]2, not specified],10.1039/d3ta02084c
Boron & nitrogen synergistically enhance the performance of LiNi0.6Co0.1Mn0.3O2,[],[LiNi0.6Co0.1Mn0.3O2, [], [], []],10.1016/j.jallcom.2023.170522
Ultrafast microwave heated form-stable thermal package providing operating temperature for PEO all-solid-state batteries,[],[positive electrode material: [], negative electrode material: [], electrolyte system: poly(ethylene oxide)-based solid electrolyte, additives: []],10.1016/j.ensm.2023.102814
Anion Receptor Weakens ClO4- Solvation for High-Temperature Sodium-Ion Batteries,[],[Na3V2(PO4)3, [], [], TPFPB],10.1002/adfm.202302281
A boron-nitride based dispersive composite coating on nickel-rich layered cathodes for enhanced cycle stability and safety,[],[Ni-rich cathodes, [], [], h-BN additive],10.1039/d3ta01500a
"Boron-Based High-Performance Lithium Batteries: Recent Progress, Challenges, and Perspectives",[],[positive electrode material: [], negative electrode material: [], electrolyte system: [], additives: []],10.1002/aenm.202300042
B/N co-doping rGO/BNNSs heterostructure with synergistic adsorption-electrocatalysis function enabling enhanced electrochemical performance of lithium-sulfur batteries,[],[sulfur, lithium, [], []],10.1016/j.cej.2023.143377
High-Energy and High-Power Primary Li-CFx Batteries Enabled by the Combined Effects of the Binder and the Electrolyte,"[coin battery, pouch battery]",[graphite fluoride, lithium, LiBF4, polyacrylonitrile],10.3390/batteries9050268
Scalable synthesis of nitrogen and nitrogen-silicon co-doped graphene: SiC4 and SiN1C3 as new active centers for boosting ORR performance,[],[metal-air battery, , alkaline electrolytes, ],10.1016/j.ijhydene.2023.01.264
High-Voltage and High-Temperature LiCoO2 Operation via the Electrolyte Additive of Electron-Defect Boron Compounds,[],[LCO, Li, commercial carbonate electrolyte, DPD scaffold compounds],10.1021/acsenergylett.3c00324
Solutions to the Challenges of Lithium-Sulfur Batteries by Carbon Nanotubes,[],[sulfur, lithium, [], []],10.1002/adsu.202300061
Highly dispersed and functionalized boron nitride nanosheets contribute to ultra-stable long-life all-solid-state batteries,[],[LFP, Li metal, composite polymer electrolyte, boron nitride nanosheets],10.1039/d3ta01252b
Trace boron-doped porous carbon with a suitable amount of defects as anode for enhanced long-life potassium storage performance,[],[positive electrode material: [], negative electrode material: boron-doped three-dimensional porous carbon, electrolyte system: [], additives: []],10.1016/j.diamond.2023.109969
"Insights into the Microstructural Engineering of Cobalt-Free, High-Nickel Cathodes Based on Surface Energy for Lithium-Ion Batteries",[],[LiNiO2 (LNO), negative electrode material not specified, electrolyte system not specified, additives not specified],10.1002/aenm.202204054
Cost-effective water-soluble three-dimensional cross-linked polymeric binder for high-performance lithium-sulfur batteries,[],[sulfur, lithium, , PVA-BA binder],10.1016/j.est.2023.107400
Boron-Doped Electrolytes as Interfacial Modifiers for High-Rate Stable Lithium Metal Batteries,[],[LFP, Li, LiPF6, BF3],10.1002/adfm.202213822
Boron doped partially wrapped hierarchical porous carbon materials towards oxygen reduction reaction,[],[BN/MPC, zinc, alkaline electrolytes, []],10.1016/j.jelechem.2023.117456
Investigating the grain boundary features of lithium titanium phosphate as an electrolyte for all-solid-state lithium-ion batteries and their optimization by boron doping,[],[, , all-solid-state lithium-ion batteries, boron],10.1016/j.est.2023.107387
"Recent advances in the development, design and mechanism of negative electrodes for asymmetric supercapacitor applications",[],[positive electrode material, negative electrode material, electrolyte system, additives].,10.1080/10408436.2023.2202225
"Decoding Polymer Architecture Effect on Ion Clustering, Chain Dynamics, and Ionic Conductivity in Polymer Electrolytes",[],[PEO-based polymer electrolytes, lithium-ion batteries, LiTFSI, []],10.1021/acsaem.3c00310
Boron nitride as an ?all-in-one? gelator to immobilize concentrated sulfone electrolyte towards high performance lithium metal batteries,[],[LiFePO4 or Li(Ni0.8Co0.1Mn0.1)O2, Li metal, gel electrolyte with concentrated sulfone immobilized with boron nitride, boron nitride],10.1016/j.ensm.2023.03.031
Structure Property and Reaction Mechanism of Boron-Based High- Voltage Electrolyte Additives via First-Principles Calculations,[],[cathode-electrolyte interphase (CEI) film, not specified, not specified, trimethyl borate (TMB) and tris(2-cyanoethyl) borate (TCEB)],10.1021/acsaem.3c00196
Semi-metallic bilayer borophene for lithium-ion batteries anode material: A first-principles study,[],[ [], semi-metallic bilayer boron structure, [], [] ],10.1016/j.chemphys.2023.111911
Hybrid working mechanism enables highly reversible Zn electrodes,[],[polyaniline, Zn, aqueous, boron nitride/Nafion],10.1016/j.esci.2023.100096
Three-in-one strategy: Heat regulation and conversion enhancement of a multifunctional separator for safer lithium-sulfur batteries,[],[sulfur, lithium, [], []],10.1002/cey2.352
2D Layered Nanomaterials as Fillers in Polymer Composite Electrolytes for Lithium Batteries,[],[lithium-based, [], polymer composite electrolytes, 2D layered nanomaterials as fillers],10.1002/aenm.202203326
Cathode Electrolyte Interphase (CEI) Endows Mo6S8 with Fast Interfacial Magnesium-Ion Transfer Kinetics,[],[Mo6S8, Mg metal, Mg[B(hfip)4]2, []],10.1002/anie.202217709
Efficient boron-based electrolytes constructed by anionic and interfacial co-regulation for rechargeable magnesium batteries,[],[CuS or Mo6S8, Mg, boron-based electrolyte in THF, triphenyl borate and tris(pentafluorophenyl) boron],10.1016/j.cej.2023.141901
Electrostatic restacking of two-dimensional materials to generate novel hetero-superlattices and their energy applications,[],[lithium/sodium ion batteries, unspecified, unspecified, unspecified],10.1063/5.0128738
Carboxyl induced ultrahigh defects and boron/nitrogen active centers in cobalt-embedded hierarchically porous carbon nanofibers: The stable oxygen reduction reaction catalysis in acid,[],[, , , ],10.1016/j.jcis.2023.01.065
Lithium-ion Mobility in Li6B18(Li3N) and Li Vacancy Tuning in the Solid Solution Li6B18(Li3N)1-x(Li2O)x,[],[metallic lithium anode, open-framework boron structure solid electrolyte, [], []],10.1002/anie.202213962
"A nickel-rich oxide, Li(Ni0.90Co0.06Mn0.04)0.995Al0.0 05 O2, with a dual conductive coating",[],[Ni-rich layered oxides, [], [], [dual conductive compound of dot-like Nb12WO33 and film-like lithium boron oxide (Li-B-O)]],10.1016/j.jallcom.2023.168870
